,url,title
0,https://3billion.io/gene/OPA3/,OPA3
1,https://3billion.io/gene/OPA1/,OPA1
2,https://3billion.io/gene/OGFR/,OGFR
3,https://3billion.io/gene/OIP5/,OIP5
4,https://3billion.io/gene/OR52N4/,OR52N4
5,https://3billion.io/gene/OR52N5/,OR52N5
6,https://3billion.io/gene/OR52N2/,OR52N2
7,https://3billion.io/gene/OR52N1/,OR52N1
8,https://3billion.io/gene/OR1S1/,OR1S1
9,https://3billion.io/gene/OR1S2/,OR1S2
10,https://3billion.io/gene/OR5T1/,OR5T1
11,https://3billion.io/gene/OBSCN/,OBSCN
12,https://3billion.io/gene/ODC1/,ODC1
13,https://3billion.io/gene/OR6V1/,OR6V1
14,https://3billion.io/gene/OTULIN/,OTULIN
15,https://3billion.io/gene/OPALIN/,OPALIN
16,https://3billion.io/gene/OR2T34/,OR2T34
17,https://3billion.io/gene/OR2T35/,OR2T35
18,https://3billion.io/gene/OR2T33/,OR2T33
19,https://3billion.io/gene/OR4A47/,OR4A47
20,https://3billion.io/gene/OR2K2/,OR2K2
21,https://3billion.io/gene/OTP/,OTP
22,https://3billion.io/gene/OR5AN1/,OR5AN1
23,https://3billion.io/gene/OPN1MW/,OPN1MW
24,https://3billion.io/gene/OPTN/,OPTN
25,https://3billion.io/gene/OPTC/,OPTC
26,https://3billion.io/gene/OR8J3/,OR8J3
27,https://3billion.io/gene/OR8J1/,OR8J1
28,https://3billion.io/gene/OR2C3/,OR2C3
29,https://3billion.io/gene/OR2C1/,OR2C1
30,https://3billion.io/gene/OSR2/,OSR2
31,https://3billion.io/gene/OR5J2/,OR5J2
32,https://3billion.io/gene/OR4L1/,OR4L1
33,https://3billion.io/gene/OR13G1/,OR13G1
34,https://3billion.io/gene/ORM1/,ORM1
35,https://3billion.io/gene/ORM2/,ORM2
36,https://3billion.io/gene/OXER1/,OXER1
37,https://3billion.io/gene/OR4F29/,OR4F29
38,https://3billion.io/gene/OR4F21/,OR4F21
39,https://3billion.io/gene/OR8B2/,OR8B2
40,https://3billion.io/gene/OR8B3/,OR8B3
41,https://3billion.io/gene/OR8B4/,OR8B4
42,https://3billion.io/gene/OR8B8/,OR8B8
43,https://3billion.io/gene/OCA2/,OCA2
44,https://3billion.io/gene/OR5B3/,OR5B3
45,https://3billion.io/gene/OR5B2/,OR5B2
46,https://3billion.io/gene/OSTM1/,OSTM1
47,https://3billion.io/gene/OR4D1/,OR4D1
48,https://3billion.io/gene/OR4D2/,OR4D2
49,https://3billion.io/gene/OR4D5/,OR4D5
50,https://3billion.io/gene/OR4D6/,OR4D6
51,https://3billion.io/gene/OTOP1/,OTOP1
52,https://3billion.io/gene/OTOP3/,OTOP3
53,https://3billion.io/gene/OTOP2/,OTOP2
54,https://3billion.io/gene/OR14J1/,OR14J1
55,https://3billion.io/gene/OVCA2/,OVCA2
56,https://3billion.io/gene/OSGEPL1/,OSGEPL1
57,https://3billion.io/gene/OSBP/,OSBP
58,https://3billion.io/gene/OCM/,OCM
59,https://3billion.io/gene/OSBP2/,OSBP2
60,https://3billion.io/gene/OR51S1/,OR51S1
61,https://3billion.io/gene/OR4A5/,OR4A5
62,https://3billion.io/gene/OBSL1/,OBSL1
63,https://3billion.io/gene/OR10H5/,OR10H5
64,https://3billion.io/gene/OR11A1/,OR11A1
65,https://3billion.io/gene/OR2G3/,OR2G3
66,https://3billion.io/gene/OCIAD2/,OCIAD2
67,https://3billion.io/gene/OCIAD1/,OCIAD1
68,https://3billion.io/gene/OR2F1/,OR2F1
69,https://3billion.io/gene/OR2F2/,OR2F2
70,https://3billion.io/gene/OR52K1/,OR52K1
71,https://3billion.io/gene/OR2L3/,OR2L3
72,https://3billion.io/gene/OR5W2/,OR5W2
73,https://3billion.io/gene/OSCAR/,OSCAR
74,https://3billion.io/gene/OGT/,OGT
75,https://3billion.io/gene/OR1E2/,OR1E2
76,https://3billion.io/gene/OR1E1/,OR1E1
77,https://3billion.io/gene/ODF3/,ODF3
78,https://3billion.io/gene/ODF2/,ODF2
79,https://3billion.io/gene/ODF1/,ODF1
80,https://3billion.io/gene/ODF4/,ODF4
81,https://3billion.io/gene/OR10Z1/,OR10Z1
82,https://3billion.io/gene/OXA1L/,OXA1L
83,https://3billion.io/gene/OR4A16/,OR4A16
84,https://3billion.io/gene/OR4A15/,OR4A15
85,https://3billion.io/gene/OSM/,OSM
86,https://3billion.io/gene/OS9/,OS9
87,https://3billion.io/gene/OR9I1/,OR9I1
88,https://3billion.io/gene/OR5D18/,OR5D18
89,https://3billion.io/gene/OR5D13/,OR5D13
90,https://3billion.io/gene/OR5D14/,OR5D14
91,https://3billion.io/gene/OR5D16/,OR5D16
