,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/CHST9/,CHST9,"CHST9
Synonyms
GALNAC4ST-2, GalNAc4ST2
External resources
NCBI83539
OMIM610191
EnsemblENSG00000154080
HGNCHGNC:19898
Summary
The protein encoded by this gene belongs to the sulfotransferase 2 family. It is localized to the golgi membrane, and catalyzes the transfer of sulfate to position 4 of non-reducing N-acetylgalactosamine (GalNAc) residues in both N-glycans and O-glycans. Sulfate groups on carbohydrates confer highly specific functions to glycoproteins, glycolipids, and proteoglycans, and are critical for cell-cell interaction, signal transduction, and embryonic development. Alternatively spliced transcript variants have been described for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,331
Likely benign
154
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST9 gene."
1,https://3billion.io/gene/CHST8/,CHST8,"CHST8
Synonyms
GALNAC4ST1, GalNAc4ST, PSS3
External resources
NCBI64377
OMIM610190
EnsemblENSG00000124302
HGNCHGNC:15993
Summary
The protein encoded by this gene belongs to the sulfotransferase 2 family. It is predominantly expressed in the pituitary gland, and is localized to the golgi membrane. This protein catalyzes the transfer of sulfate to position 4 of non-reducing N-acetylgalactosamine (GalNAc) residues in both N-glycans and O-glycans. It is responsible for sulfation of GalNAc on luteinizing hormone (LH), which is required for production of the sex hormones. Mice lacking this enzyme, exhibit increased levels of circulating LH, and precocious sexual maturation of both male and female mice. Alternatively spliced transcript variants have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
999
Likely benign
821
Benign
1","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST8 gene."
2,https://3billion.io/gene/CHST1/,CHST1,"CHST1
Synonyms
C6ST, GST-1, KS6ST, KSGal6ST, KSST
External resources
NCBI8534
OMIM603797
EnsemblENSG00000175264
HGNCHGNC:1969
Summary
This locus encodes a member of the keratin sulfotransferase family of proteins. The encoded enzyme catalyzes the sulfation of the proteoglycan keratin.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
391
Likely benign
65
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST1 gene."
3,https://3billion.io/gene/CHST3/,CHST3,"CHST3
Synonyms
C6ST, C6ST1, HSD
External resources
NCBI9469
OMIM603799
EnsemblENSG00000122863
HGNCHGNC:1971
Summary
This gene encodes an enzyme which catalyzes the sulfation of chondroitin, a proteoglycan found in the extracellular matrix and most cells which is involved in cell migration and differentiation. Mutations in this gene are associated with spondylepiphyseal dysplasia and humerospinal dysostosis.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
1
VUS
1,242
Likely benign
811
Benign
28","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on CHST3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
50%
Abnormality of the eye
50%
Abnormality of the musculoskeletal system
50%
Abnormality of the nervous system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
4,https://3billion.io/gene/CHST2/,CHST2,"CHST2
Synonyms
C6ST, GST-2, GST2, Gn6ST-1, HEL-S-75, glcNAc6ST-1
External resources
NCBI9435
OMIM603798
EnsemblENSG00000175040
HGNCHGNC:1970
Summary
This locus encodes a sulfotransferase protein. The encoded enzyme catalyzes the sulfation of a nonreducing N-acetylglucosamine residue, and may play a role in biosynthesis of 6-sulfosialyl Lewis X antigen.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
572
Likely benign
467
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST2 gene."
5,https://3billion.io/gene/CHST5/,CHST5,"CHST5
Synonyms
I-GlcNAc-6-ST, I-GlcNAc6ST, glcNAc6ST-3, gn6st-3, hIGn6ST
External resources
NCBI23563
OMIM604817
EnsemblENSG00000135702
HGNCHGNC:1973
Summary
The protein encoded by this gene belongs to the Gal/GalNAc/GlcNAc 6-O-sulfotransferase (GST) family, members of which catalyze the transfer of sulfate to position 6 of galactose (Gal), N-acetylgalactosamine (GalNAc), or N-acetylglucosamine (GlcNAc) residues within proteoglycans, and sulfation of O-linked sugars of mucin-type acceptors. Carbohydrate sulfation plays a critical role in many biologic processes. This gene is predominantly expressed in colon and small intestine.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,052
Likely benign
1,199
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST5 gene."
6,https://3billion.io/gene/CHST4/,CHST4,"CHST4
Synonyms
GST3, GlcNAc6ST2, HECGLCNAC6ST, LSST
External resources
NCBI10164
EnsemblENSG00000140835
HGNCHGNC:1972
Summary
This gene encodes an N-acetylglucosamine 6-O sulfotransferase. The encoded enzyme transfers sulfate from 3'phosphoadenosine 5'phospho-sulfate to the 6-hydroxyl group of N-acetylglucosamine on glycoproteins. This protein is localized to the Golgi and is involved in the modification of glycan structures on ligands of the lymphocyte homing receptor L-selectin. Alternate splicing in the 5' UTR results in multiple transcript variants that encode the same protein.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
657
Likely benign
260
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST4 gene."
7,https://3billion.io/gene/CHST7/,CHST7,"CHST7
Synonyms
C6ST-2, GST-5
External resources
NCBI56548
OMIM300375
EnsemblENSG00000147119
HGNCHGNC:13817
Summary
This gene is a member of the Gal/GalNAc/GlcNAc (galactose/N-acetylgalactosamine/N-acetylglucosamine) 6-O-sulfotransferase (GST) family. Members of this family encode enzymes that catalyze the specific addition of sulfate groups to distinct hydroxyl and amino groups of carbohydrates. The encoded protein catalyzes the sulfation of 6-hydroxyl group of GalNAc in chondroitin.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
220
Likely benign
478
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on CHST7 gene."
8,https://3billion.io/gene/CHST6/,CHST6,"CHST6
Synonyms
C-GlcNAc6ST, GST4-beta, MCDC1, glcNAc6ST-5, gn6st-5, hCGn6ST
External resources
NCBI4166
OMIM605294
EnsemblENSG00000183196
HGNCHGNC:6938
Summary
The protein encoded by this gene is an enzyme that catalyzes the transfer of a sulfate group to the GlcNAc residues of keratan. Keratan sulfate helps maintain corneal transparency. Defects in this gene are a cause of macular corneal dystrophy (MCD).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
5
VUS
615
Likely benign
202
Benign
708","Patient phenotypes
Proportions of phenotypes among 5 patients carrying pathogenic or likely pathogenic variants on CHST6 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of blood and blood-forming tissues
40%
Abnormality of the respiratory system
40%
Abnormal cellular phenotype
20%
Abnormality of the digestive system
20%
Abnormality of the eye
20%
Abnormality of the immune system
20%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
9,https://3billion.io/gene/C14orf119/,C14orf119,"C14orf119
Synonyms
-
External resources
NCBI55017
EnsemblENSG00000179933
HGNCHGNC:20270
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
18,574
Likely benign
138
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on C14orf119 gene."
