,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/ETV3L/,ETV3L,"ETV3L
Synonyms
-
External resources
NCBI440695
EnsemblENSG00000253831
HGNCHGNC:33834
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
834
Likely benign
860
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ETV3L gene."
1,https://3billion.io/gene/ERGIC2/,ERGIC2,"ERGIC2
Synonyms
CDA14, Erv41, PTX1, cd002
External resources
NCBI51290
OMIM612236
EnsemblENSG00000087502
HGNCHGNC:30208
Summary
ERGIC2, or PTX1, is a ubiquitously expressed nuclear protein that is downregulated in prostate carcinoma (Kwok et al., 2001 [PubMed 11445006]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,634
Likely benign
313
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ERGIC2 gene."
2,https://3billion.io/gene/ERGIC3/,ERGIC3,"ERGIC3
Synonyms
C20orf47, C2orf47, CGI-54, Erv46, NY-BR-84, PRO0989, SDBCAG84, dJ477O4.2
External resources
NCBI51614
OMIM616971
EnsemblENSG00000125991
HGNCHGNC:15927
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,893
Likely benign
1,153
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ERGIC3 gene."
3,https://3billion.io/gene/ERGIC1/,ERGIC1,"ERGIC1
Synonyms
AMC2, AMCN, ERGIC-32, ERGIC32, NET24
External resources
NCBI57222
OMIM617946
EnsemblENSG00000113719
HGNCHGNC:29205
Summary
This gene encodes a cycling membrane protein which is an endoplasmic reticulum-golgi intermediate compartment (ERGIC) protein which interacts with other members of this protein family to increase their turnover.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,519
Likely benign
372
Benign
156","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ERGIC1 gene."
4,https://3billion.io/gene/EBP/,EBP,"EBP
Synonyms
CDPX2, CHO2, CPX, CPXD, MEND
External resources
NCBI10682
OMIM300205
EnsemblENSG00000147155
HGNCHGNC:3133
Summary
The protein encoded by this gene is an integral membrane protein of the endoplasmic reticulum. It is a high affinity binding protein for the antiischemic phenylalkylamine Ca2+ antagonist [3H]emopamil and the photoaffinity label [3H]azidopamil. It is similar to sigma receptors and may be a member of a superfamily of high affinity drug-binding proteins in the endoplasmic reticulum of different tissues. This protein shares structural features with bacterial and eukaryontic drug transporting proteins. It has four putative transmembrane segments and contains two conserved glutamate residues which may be involved in the transport of cationic amphiphilics. Another prominent feature of this protein is its high content of aromatic amino acid residues (>23%) in its transmembrane segments. These aromatic amino acid residues have been suggested to be involved in the drug transport by the P-glycoprotein. Mutations in this gene cause Chondrodysplasia punctata 2 (CDPX2; also known as Conradi-Hunermann syndrome).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
8
Likely pathogenic
2
VUS
2,482
Likely benign
3,847
Benign
135","Patient phenotypes
Proportions of phenotypes among 5 patients carrying pathogenic or likely pathogenic variants on EBP gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
80%
Abnormality of head or neck
60%
Abnormality of the musculoskeletal system
60%
Abnormality of limbs
40%
Abnormality of the ear
40%
Abnormality of the eye
40%
Abnormality of the integument
40%
Abnormality of the digestive system
20%
Abnormality of the genitourinary system
20%
Growth abnormality
20%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
5,https://3billion.io/gene/ETHE1/,ETHE1,"ETHE1
Synonyms
HSCO, YF13H12
External resources
NCBI23474
OMIM608451
EnsemblENSG00000105755
HGNCHGNC:23287
Summary
This gene encodes a member of the metallo beta-lactamase family of iron-containing proteins involved in the mitochondrial sulfide oxidation pathway. The encoded protein catalyzes the oxidation of a persulfide substrate to sulfite. Certain mutations in this gene cause ethylmalonic encephalopathy, an infantile metabolic disorder affecting the brain, gastrointestinal tract and peripheral vessels. Alternative splicing results in multiple transcript variants encoding different isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
12
Likely pathogenic
2
VUS
1,780
Likely benign
1,956
Benign
4,996","Patient phenotypes
Proportions of phenotypes among 14 patients carrying pathogenic or likely pathogenic variants on ETHE1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
78.6%
Abnormality of the musculoskeletal system
57.1%
Abnormality of head or neck
42.9%
Abnormality of the eye
42.9%
Abnormality of limbs
28.6%
Abnormality of the cardiovascular system
21.4%
Growth abnormality
21.4%
Abnormality of prenatal development or birth
14.3%
Abnormality of the endocrine system
14.3%
Abnormality of the integument
14.3%
Abnormality of the digestive system
7.1%
Abnormality of the ear
7.1%
Constitutional symptom
7.1%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
6,https://3billion.io/gene/EVI2B/,EVI2B,"EVI2B
Synonyms
CD361, D17S376, EVDB
External resources
NCBI2124
OMIM158381
EnsemblENSG00000185862
HGNCHGNC:3500
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,316
Likely benign
170
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on EVI2B gene."
7,https://3billion.io/gene/ENO1/,ENO1,"ENO1
Synonyms
ENO1L1, HEL-S-17, MPB1, NNE, PPH
External resources
NCBI2023
OMIM172430
EnsemblENSG00000074800
HGNCHGNC:3350
Summary
This gene encodes alpha-enolase, one of three enolase isoenzymes found in mammals. Each isoenzyme is a homodimer composed of 2 alpha, 2 gamma, or 2 beta subunits, and functions as a glycolytic enzyme. Alpha-enolase in addition, functions as a structural lens protein (tau-crystallin) in the monomeric form. Alternative splicing of this gene results in a shorter isoform that has been shown to bind to the c-myc promoter and function as a tumor suppressor. Several pseudogenes have been identified, including one on the long arm of chromosome 1. Alpha-enolase has also been identified as an autoantigen in Hashimoto encephalopathy.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,062
Likely benign
1,441
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ENO1 gene."
8,https://3billion.io/gene/ENO2/,ENO2,"ENO2
Synonyms
HEL-S-279, NSE
External resources
NCBI2026
OMIM131360
EnsemblENSG00000111674
HGNCHGNC:3353
Summary
This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme, a homodimer, is found in mature neurons and cells of neuronal origin. A switch from alpha enolase to gamma enolase occurs in neural tissue during development in rats and primates.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,108
Likely benign
2,044
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ENO2 gene."
9,https://3billion.io/gene/ENO3/,ENO3,"ENO3
Synonyms
GSD13, MSE
External resources
NCBI2027
OMIM131370
EnsemblENSG00000108515
HGNCHGNC:3354
Summary
This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme is found in skeletal muscle cells in the adult where it may play a role in muscle development and regeneration. A switch from alpha enolase to beta enolase occurs in muscle tissue during development in rodents. Mutations in this gene have be associated glycogen storage disease. Alternatively spliced transcript variants encoding different isoforms have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
20
Likely pathogenic
0
VUS
7,899
Likely benign
881
Benign
0","Patient phenotypes
Proportions of phenotypes among 20 patients carrying pathogenic or likely pathogenic variants on ENO3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
45%
Abnormality of the musculoskeletal system
35%
Abnormality of the eye
30%
Abnormality of head or neck
25%
Abnormality of limbs
15%
Abnormality of the endocrine system
15%
Abnormality of the integument
15%
Growth abnormality
15%
Abnormality of prenatal development or birth
10%
Abnormality of the cardiovascular system
10%
Abnormality of the ear
10%
Abnormality of the genitourinary system
10%
Neoplasm
10%
Abnormality of the digestive system
5%
Abnormality of the immune system
5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
