,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/FBXL19/,FBXL19,"FBXL19
Synonyms
CXXC11, Fbl19, JHDM1C
External resources
NCBI54620
OMIM609085
EnsemblENSG00000099364
HGNCHGNC:25300
Summary
This gene encodes a member of the Skp1-Cullin-F-box family of E3 ubiquitin ligases. The encoded protein is reported to bind to the transmembrane receptor interleukin 1 receptor-like 1 and regulate its ubiquitination and degradation. This protein has been linked to the regulation of pulmonary inflammation and psoriasis. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
3
VUS
5,244
Likely benign
885
Benign
0","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on FBXL19 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
66.7%
Abnormality of the cardiovascular system
33.3%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/FOXS1/,FOXS1,"FOXS1
Synonyms
FKHL18, FREAC10
External resources
NCBI2307
OMIM602939
EnsemblENSG00000179772
HGNCHGNC:3735
Summary
The forkhead family of transcription factors belongs to the winged helix class of DNA-binding proteins. The protein encoded by this intronless gene contains a forkhead domain and is found predominantly in aorta and kidney. The function of the encoded protein is unknown.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,043
Likely benign
726
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FOXS1 gene."
2,https://3billion.io/gene/FTCDNL1/,FTCDNL1,"FTCDNL1
Synonyms
FONG
External resources
NCBI348751
OMIM614308
EnsemblENSG00000226124
HGNCHGNC:48661
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,844
Likely benign
4,222
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FTCDNL1 gene."
3,https://3billion.io/gene/FCER1G/,FCER1G,"FCER1G
Synonyms
FCRG
External resources
NCBI2207
OMIM147139
EnsemblENSG00000158869
HGNCHGNC:3611
Summary
The high affinity IgE receptor is a key molecule involved in allergic reactions. It is a tetramer composed of 1 alpha, 1 beta, and 2 gamma chains. The gamma chains are also subunits of other Fc receptors.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
17,083
Likely benign
194
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FCER1G gene."
4,https://3billion.io/gene/FCER1A/,FCER1A,"FCER1A
Synonyms
FCE1A, FCERIA, FcERI
External resources
NCBI2205
OMIM147140
EnsemblENSG00000179639
HGNCHGNC:3609
Summary
The immunoglobulin epsilon receptor (IgE receptor) is the initiator of the allergic response. When two or more high-affinity IgE receptors are brought together by allergen-bound IgE molecules, mediators such as histamine that are responsible for allergy symptoms are released. This receptor is comprised of an alpha subunit, a beta subunit, and two gamma subunits. The protein encoded by this gene represents the alpha subunit.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,901
Likely benign
1,317
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FCER1A gene."
5,https://3billion.io/gene/FHOD1/,FHOD1,"FHOD1
Synonyms
FHOS
External resources
NCBI29109
OMIM606881
EnsemblENSG00000135723
HGNCHGNC:17905
Summary
This gene encodes a protein which is a member of the formin/diaphanous family of proteins. The gene is ubiquitously expressed but is found in abundance in the spleen. The encoded protein has sequence homology to diaphanous and formin proteins within the Formin Homology (FH)1 and FH2 domains. It also contains a coiled-coil domain, a collagen-like domain, two nuclear localization signals, and several potential PKC and PKA phosphorylation sites. It is a predominantly cytoplasmic protein and is expressed in a variety of human cell lines. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,422
Likely benign
4,195
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FHOD1 gene."
6,https://3billion.io/gene/FHOD3/,FHOD3,"FHOD3
Synonyms
CMH28, FHOS2, Formactin2
External resources
NCBI80206
OMIM609691
EnsemblENSG00000134775
HGNCHGNC:26178
Summary
The protein encoded by this gene is a member of the diaphanous-related formins (DRF), and contains multiple domains, including GBD (GTPase-binding domain), DID (diaphanous inhibitory domain), FH1 (formin homology 1), FH2 (formin homology 2), and DAD (diaphanous auto-regulatory domain) domains. This protein is thought to play a role in actin filament polymerization in cardiomyocytes. Mutations in this gene have been associated with dilated cardiomyopathy (DCM), characterized by dilation of the ventricular chamber, leading to impairment of systolic pump function and subsequent heart failure. Increased levels of the protein encoded by this gene have been observed in individuals with hypertrophic cardiomyopathy (HCM). Alternative splicing results in multiple transcript variants encoding different isoforms. A muscle-specific isoform has been shown to possess a casein kinase 2 (CK2) phosphorylation site at the C-terminal end of the FH2 domain. Phosphorylation of this site alters its interaction with sequestosome 1 (SQSTM1), and targets this isoform to myofibrils, while other isoforms form cytoplasmic aggregates.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
26
Likely pathogenic
29
VUS
3,674
Likely benign
3,052
Benign
9,431","Patient phenotypes
Proportions of phenotypes among 55 patients carrying pathogenic or likely pathogenic variants on FHOD3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
23.6%
Abnormality of the nervous system
21.8%
Abnormality of the eye
20%
Abnormality of the cardiovascular system
16.4%
Abnormality of the integument
16.4%
Abnormality of head or neck
14.5%
Abnormality of the genitourinary system
14.5%
Abnormality of blood and blood-forming tissues
12.7%
Abnormality of the immune system
12.7%
Growth abnormality
12.7%
Abnormality of the digestive system
10.9%
Abnormality of the ear
7.3%
Abnormality of the endocrine system
7.3%
Abnormality of limbs
5.5%
Abnormality of the respiratory system
5.5%
Abnormality of prenatal development or birth
3.6%
Neoplasm
1.8%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
7,https://3billion.io/gene/FOXN4/,FOXN4,"FOXN4
Synonyms
-
External resources
NCBI121643
OMIM609429
EnsemblENSG00000139445
HGNCHGNC:21399
Summary
Members of the winged-helix/forkhead family of transcription factors, such as FOXN4, are characterized by a 110-amino acid DNA-binding domain that can fold into a variant of the helix-turn-helix motif consisting of 3 alpha helices flanked by 2 large loops or wings. These transcription factors are involved in a variety of biologic processes as key regulators in development and metabolism (Li et al., 2004 [PubMed 15363391]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
7,160
Likely benign
3,187
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FOXN4 gene."
8,https://3billion.io/gene/FOXN1/,FOXN1,"FOXN1
Synonyms
FKHL20, RONU, TIDAND, TLIND, WHN
External resources
NCBI8456
OMIM600838
EnsemblENSG00000109101
HGNCHGNC:12765
Summary
Mutations in the winged-helix transcription factor gene at the nude locus in mice and rats produce the pleiotropic phenotype of hairlessness and athymia, resulting in a severely compromised immune system. This gene is orthologous to the mouse and rat genes and encodes a similar DNA-binding transcription factor that is thought to regulate keratin gene expression. A mutation in this gene has been correlated with T-cell immunodeficiency, the skin disorder congenital alopecia, and nail dystrophy. Alternative splicing in the 5' UTR of this gene has been observed.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
4
Likely pathogenic
0
VUS
2,318
Likely benign
9,665
Benign
298","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on FOXN1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
50%
Abnormality of the ear
50%
Abnormality of the nervous system
50%
Growth abnormality
50%
Abnormality of blood and blood-forming tissues
25%
Abnormality of prenatal development or birth
25%
Abnormality of the cardiovascular system
25%
Abnormality of the eye
25%
Abnormality of the immune system
25%
Abnormality of the integument
25%
Abnormality of the musculoskeletal system
25%
Neoplasm
25%
Abnormal cellular phenotype
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
9,https://3billion.io/gene/FOXN2/,FOXN2,"FOXN2
Synonyms
HTLF
External resources
NCBI3344
OMIM143089
EnsemblENSG00000170802
HGNCHGNC:5281
Summary
This gene encodes a forkhead domain binding protein and may function in the transcriptional regulation of the human T-cell leukemia virus long terminal repeat.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
795
Likely benign
561
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on FOXN2 gene."
