,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/HAUS5/,HAUS5,"HAUS5
Synonyms
KIAA0841, dgt5
External resources
NCBI23354
OMIM613432
EnsemblENSG00000249115
HGNCHGNC:29130
Summary
HAUS5 is 1 of 8 subunits of the 390-kD human augmin complex, or HAUS complex. The augmin complex was first identified in Drosophila, and its name comes from the Latin verb 'augmentare,' meaning 'to increase.' The augmin complex is a microtubule-binding complex involved in microtubule generation within the mitotic spindle and is vital to mitotic spindle assembly (Goshima et al., 2008 [PubMed 18443220]; Uehara et al., 2009 [PubMed 19369198]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
7,410
Likely benign
6,517
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HAUS5 gene."
1,https://3billion.io/gene/HLA-DQB1/,HLA-DQB1,"HLA-DQB1
Synonyms
CELIAC1, HLA-DQB, IDDM1
External resources
NCBI3119
OMIM604305
EnsemblENSG00000179344
HGNCHGNC:4944
Summary
HLA-DQB1 belongs to the HLA class II beta chain paralogs. This class II molecule is a heterodimer consisting of an alpha (DQA) and a beta chain (DQB), both anchored in the membrane. It plays a central role in the immune system by presenting peptides derived from extracellular proteins. Class II molecules are expressed in antigen presenting cells (APC: B lymphocytes, dendritic cells, macrophages). The beta chain is approximately 26-28 kDa and it contains six exons. Exon 1 encodes the leader peptide, exons 2 and 3 encode the two extracellular domains, exon 4 encodes the transmembrane domain and exon 5 encodes the cytoplasmic tail. Within the DQ molecule both the alpha chain and the beta chain contain the polymorphisms specifying the peptide binding specificities, resulting in up to four different molecules. Typing for these polymorphisms is routinely done for bone marrow transplantation. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
30
Likely pathogenic
223
VUS
532,399
Likely benign
76,323
Benign
0","Patient phenotypes
Proportions of phenotypes among 102 patients carrying pathogenic or likely pathogenic variants on HLA-DQB1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
49%
Abnormality of the musculoskeletal system
43.1%
Abnormality of head or neck
34.3%
Abnormality of the genitourinary system
22.5%
Growth abnormality
21.6%
Abnormality of the integument
20.6%
Abnormality of limbs
18.6%
Abnormality of the eye
15.7%
Abnormality of the cardiovascular system
14.7%
Abnormality of the respiratory system
14.7%
Abnormality of the digestive system
13.7%
Abnormality of the immune system
12.7%
Abnormality of blood and blood-forming tissues
9.8%
Abnormality of the ear
7.8%
Abnormality of prenatal development or birth
4.9%
Abnormality of the endocrine system
4.9%
Neoplasm
3.9%
Constitutional symptom
2%
Abnormal cellular phenotype
1%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
2,https://3billion.io/gene/HLA-DQB2/,HLA-DQB2,"HLA-DQB2
Synonyms
DQB2, HLA-DQB1, HLA-DXB
External resources
NCBI3120
OMIM615161
EnsemblENSG00000232629
HGNCHGNC:4945
Summary
HLA-DQB2 belongs to the family of HLA class II beta chain paralogs. Class II molecules are heterodimers consisting of an alpha (DQA) and a beta chain (DQB), both anchored in the membrane. They play a central role in the immune system by presenting peptides derived from extracellular proteins. Class II molecules are expressed in antigen presenting cells (APC: B lymphocytes, dendritic cells, macrophages). Polymorphisms in the alpha and beta chains specify the peptide binding specificity, and typing for these polymorphisms is routinely done for bone marrow transplantation. However this gene, HLA-DQB2, is not routinely typed, as it is not thought to have an effect on transplantation. There is conflicting evidence in the literature and public sequence databases for the protein-coding capacity of HLA-DQB2. Because there is evidence of transcription and an intact ORF, HLA-DQB2 is represented in Entrez Gene and in RefSeq as a protein-coding locus.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
35,853
Likely benign
59,436
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HLA-DQB2 gene."
3,https://3billion.io/gene/HAPLN4/,HAPLN4,"HAPLN4
Synonyms
BRAL2
External resources
NCBI404037
OMIM619710
EnsemblENSG00000187664
HGNCHGNC:31357
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,829
Likely benign
1,381
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HAPLN4 gene."
4,https://3billion.io/gene/HOXA10/,HOXA10,"HOXA10
Synonyms
HOX1, HOX1.8, HOX1H, PL
External resources
NCBI3206
OMIM142957
EnsemblENSG00000253293
HGNCHGNC:5100
Summary
In vertebrates, the genes encoding the class of transcription factors called homeobox genes are found in clusters named A, B, C, and D on four separate chromosomes. Expression of these proteins is spatially and temporally regulated during embryonic development. This gene is part of the A cluster on chromosome 7 and encodes a DNA-binding transcription factor that may regulate gene expression, morphogenesis, and differentiation. More specifically, it may function in fertility, embryo viability, and regulation of hematopoietic lineage commitment. Alternatively spliced transcript variants have been described. Read-through transcription also exists between this gene and the downstream homeobox A9 (HOXA9) gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,860
Likely benign
809
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HOXA10 gene."
5,https://3billion.io/gene/HOXB13/,HOXB13,"HOXB13
Synonyms
HPC9, PSGD
External resources
NCBI10481
OMIM604607
EnsemblENSG00000159184
HGNCHGNC:5112
Summary
This gene encodes a transcription factor that belongs to the homeobox gene family. Genes of this family are highly conserved among vertebrates and essential for vertebrate embryonic development. This gene has been implicated to play a role in fetal skin development and cutaneous regeneration. In mice, a similar gene was shown to exhibit temporal and spatial colinearity in the main body axis of the embryo, but was not expressed in the secondary axes, which suggests functions in body patterning along the axis. This gene and other HOXB genes form a gene cluster at chromosome the 17q21-22 region.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
964
Likely benign
596
Benign
63","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HOXB13 gene."
6,https://3billion.io/gene/HSFX2/,HSFX2,"HSFX2
Synonyms
-
External resources
NCBI100130086
EnsemblENSG00000268738
HGNCHGNC:32701
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,805
Likely benign
0
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HSFX2 gene."
7,https://3billion.io/gene/HSFX1/,HSFX1,"HSFX1
Synonyms
LW-1
External resources
NCBI100506164
EnsemblENSG00000171116
HGNCHGNC:29603
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
135
Likely benign
0
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HSFX1 gene."
8,https://3billion.io/gene/HSFX4/,HSFX4,"HSFX4
Synonyms
-
External resources
NCBI101927685
EnsemblENSG00000283463
HGNCHGNC:52398
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,973
Likely benign
0
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HSFX4 gene."
9,https://3billion.io/gene/HAGH/,HAGH,"HAGH
Synonyms
GLO2, GLX2, GLXII, HAGH1
External resources
NCBI3029
OMIM138760
EnsemblENSG00000063854
HGNCHGNC:4805
Summary
The enzyme encoded by this gene is classified as a thiolesterase and is responsible for the hydrolysis of S-lactoyl-glutathione to reduced glutathione and D-lactate. Three transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,510
Likely benign
2,055
Benign
3,301","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HAGH gene."
10,https://3billion.io/gene/HOGA1/,HOGA1,"HOGA1
Synonyms
C10orf65, DHDPS2, DHDPSL, HP3, NPL2
External resources
NCBI112817
OMIM613597
EnsemblENSG00000241935
HGNCHGNC:25155
Summary
The authors of PMID:20797690 cloned this gene while searching for genes in a region of chromosome 10 linked to primary hyperoxalurea type III. They noted that even though the encoded protein has been described as a mitochondrial dihydrodipicolinate synthase-like enzyme, it shares little homology with E. coli dihydrodipicolinate synthase (Dhdps), particularly in the putative substrate-binding region. Moreover, neither lysine biosynthesis nor sialic acid metabolism, for which Dhdps is responsible, occurs in vertebrate mitochondria. They propose that this gene encodes mitochondrial 4-hydroxyl-2-oxoglutarate aldolase (EC 4.1.3.16), which catalyzes the final step in the metabolic pathway of hydroxyproline, releasing glyoxylate and pyruvate. This gene is predominantly expressed in the liver and kidney, and mutations in this gene are found in patients with primary hyperoxalurea type III. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
15
Likely pathogenic
37
VUS
3,468
Likely benign
914
Benign
24","Patient phenotypes
Proportions of phenotypes among 49 patients carrying pathogenic or likely pathogenic variants on HOGA1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
36.7%
Abnormality of the eye
24.5%
Abnormality of head or neck
14.3%
Abnormality of the endocrine system
14.3%
Abnormality of the genitourinary system
14.3%
Abnormality of the integument
14.3%
Abnormality of the musculoskeletal system
14.3%
Abnormality of the digestive system
12.2%
Abnormality of the ear
12.2%
Growth abnormality
12.2%
Abnormality of blood and blood-forming tissues
8.2%
Abnormality of the cardiovascular system
8.2%
Neoplasm
8.2%
Abnormality of limbs
4.1%
Abnormality of the immune system
4.1%
Abnormal cellular phenotype
2%
Abnormality of prenatal development or birth
2%
Abnormality of the breast
2%
Abnormality of metabolism homeostasis
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
11,https://3billion.io/gene/HS3ST3B1/,HS3ST3B1,"HS3ST3B1
Synonyms
3-OST-3B, 3OST3B1, h3-OST-3B
External resources
NCBI9953
OMIM604058
EnsemblENSG00000125430
HGNCHGNC:5198
Summary
The protein encoded by this gene is a type II integral membrane protein that belongs to the 3-O-sulfotransferases family. These proteins catalyze the addition of sulfate groups at the 3-OH position of glucosamine in heparan sulfate. The substrate specificity of individual members of the family is based on prior modification of the heparan sulfate chain, thus allowing different members of the family to generate binding sites for different proteins on the same heparan sulfate chain. Following treatment with a histone deacetylase inhibitor, expression of this gene is activated in a pancreatic cell line. The increased expression results in promotion of the epithelial-mesenchymal transition. In addition, the modification catalyzed by this protein allows herpes simplex virus membrane fusion and penetration. A very closely related homolog with an almost identical sulfotransferase domain maps less than 1 Mb away. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,052
Likely benign
484
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HS3ST3B1 gene."
12,https://3billion.io/gene/HES1/,HES1,"HES1
Synonyms
HES-1, HHL, HRY, bHLHb39
External resources
NCBI3280
OMIM139605
EnsemblENSG00000114315
HGNCHGNC:5192
Summary
This protein belongs to the basic helix-loop-helix family of transcription factors. It is a transcriptional repressor of genes that require a bHLH protein for their transcription. The protein has a particular type of basic domain that contains a helix interrupting protein that binds to the N-box rather than the canonical E-box.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,377
Likely benign
80
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on HES1 gene."
