,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/LYAR/,LYAR,"LYAR
Synonyms
ZC2HC2, ZLYAR
External resources
NCBI55646
OMIM617684
EnsemblENSG00000145220
HGNCHGNC:26021
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,538
Likely benign
1,356
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LYAR gene."
1,https://3billion.io/gene/LY6G6C/,LY6G6C,"LY6G6C
Synonyms
C6orf24, G6c, NG24
External resources
NCBI80740
OMIM610435
EnsemblENSG00000204421
HGNCHGNC:13936
Summary
LY6G6C belongs to a cluster of leukocyte antigen-6 (LY6) genes located in the major histocompatibility complex (MHC) class III region on chromosome 6. Members of the LY6 superfamily typically contain 70 to 80 amino acids, including 8 to 10 cysteines. Most LY6 proteins are attached to the cell surface by a glycosylphosphatidylinositol (GPI) anchor that is directly involved in signal transduction (Mallya et al., 2002 [PubMed 12079290]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
9,246
Likely benign
978
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LY6G6C gene."
2,https://3billion.io/gene/LY6G6D/,LY6G6D,"LY6G6D
Synonyms
C6orf23, G6D, LY6-D, MEGT1, NG25
External resources
NCBI58530
OMIM606038
EnsemblENSG00000244355
HGNCHGNC:13935
Summary
LY6G6D belongs to a cluster of leukocyte antigen-6 (LY6) genes located in the major histocompatibility complex (MHC) class III region on chromosome 6. Members of the LY6 superfamily typically contain 70 to 80 amino acids, including 8 to 10 cysteines. Most LY6 proteins are attached to the cell surface by a glycosylphosphatidylinositol (GPI) anchor that is directly involved in signal transduction (Mallya et al., 2002 [PubMed 12079290]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,913
Likely benign
89
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LY6G6D gene."
3,https://3billion.io/gene/LY6G6F/,LY6G6F,"LY6G6F
Synonyms
C6orf21, G6f, LY6G6, LY6G6D, NG32
External resources
NCBI259215
OMIM611404
EnsemblENSG00000204424
HGNCHGNC:13933
Summary
The human G6f protein is a type I transmembrane protein belonging to the immunoglobin (Ig) superfamily, which is comprised of cell-surface proteins involved in the immune system and cellular recognition (de Vet et al., 2003 [PubMed 12852788]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,803
Likely benign
2,463
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LY6G6F gene."
4,https://3billion.io/gene/LOXHD1/,LOXHD1,"LOXHD1
Synonyms
DFNB77, LH2D1
External resources
NCBI125336
OMIM613072
EnsemblENSG00000167210
HGNCHGNC:26521
Summary
This gene encodes a highly conserved protein consisting entirely of PLAT (polycystin/lipoxygenase/alpha-toxin) domains, thought to be involved in targeting proteins to the plasma membrane. Studies in mice show that this gene is expressed in the mechanosensory hair cells in the inner ear, and mutations in this gene lead to auditory defects, indicating that this gene is essential for normal hair cell function. Screening of human families segregating deafness identified a mutation in this gene which causes DFNB77, a progressive form of autosomal-recessive nonsyndromic hearing loss (ARNSHL). Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
101
Likely pathogenic
0
VUS
10,114
Likely benign
6,038
Benign
2,003","Patient phenotypes
Proportions of phenotypes among 91 patients carrying pathogenic or likely pathogenic variants on LOXHD1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
17.6%
Abnormality of the ear
16.5%
Abnormality of the musculoskeletal system
16.5%
Abnormality of the nervous system
13.2%
Abnormality of the eye
12.1%
Abnormality of the genitourinary system
11%
Abnormality of the digestive system
9.9%
Abnormality of head or neck
8.8%
Neoplasm
5.5%
Abnormality of prenatal development or birth
3.3%
Abnormality of the endocrine system
3.3%
Abnormality of the immune system
3.3%
Growth abnormality
3.3%
Abnormality of blood and blood-forming tissues
2.2%
Abnormality of limbs
2.2%
Abnormality of the breast
1.1%
Abnormality of the integument
1.1%
Constitutional symptom
1.1%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
5,https://3billion.io/gene/LRRC26/,LRRC26,"LRRC26
Synonyms
CAPC, bA350O14.10
External resources
NCBI389816
OMIM613505
EnsemblENSG00000184709
HGNCHGNC:31409
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
25,171
Likely benign
643
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LRRC26 gene."
6,https://3billion.io/gene/LRRC25/,LRRC25,"LRRC25
Synonyms
MAPA
External resources
NCBI126364
OMIM607518
EnsemblENSG00000175489
HGNCHGNC:29806
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
4
Likely pathogenic
0
VUS
3,166
Likely benign
850
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on LRRC25 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
25%
Abnormality of the digestive system
25%
Abnormality of the eye
25%
Abnormality of the immune system
25%
Abnormality of the nervous system
25%
Growth abnormality
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
7,https://3billion.io/gene/LRRC24/,LRRC24,"LRRC24
Synonyms
LRRC14OS
External resources
NCBI441381
EnsemblENSG00000254402
HGNCHGNC:28947
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
12,534
Likely benign
614
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LRRC24 gene."
8,https://3billion.io/gene/LRRC23/,LRRC23,"LRRC23
Synonyms
LRPB7
External resources
NCBI10233
EnsemblENSG00000010626
HGNCHGNC:19138
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,724
Likely benign
995
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LRRC23 gene."
9,https://3billion.io/gene/LRRC20/,LRRC20,"LRRC20
Synonyms
-
External resources
NCBI55222
EnsemblENSG00000172731
HGNCHGNC:23421
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,230
Likely benign
576
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on LRRC20 gene."
