,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/NSRP1/,NSRP1,"NSRP1
Synonyms
CCDC55, HSPC095, NSrp70
External resources
NCBI84081
OMIM616173
EnsemblENSG00000126653
HGNCHGNC:25305
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
1,639
Likely benign
184
Benign
110","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on NSRP1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
100%
Abnormality of the ear
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/NLRP14/,NLRP14,"NLRP14
Synonyms
CLR11.2, GC-LRR, NALP14, NOD5, PAN8
External resources
NCBI338323
OMIM609665
EnsemblENSG00000158077
HGNCHGNC:22939
Summary
The protein encoded by this gene belongs to the NALP protein family. Members of the NALP protein family typically contain a NACHT domain, a NACHT-associated domain (NAD), a C-terminal leucine-rich repeat (LRR) region, and an N-terminal pyrin domain (PYD). This protein may play a regulatory role in the innate immune system as similar family members belong to the signal-induced multiprotein complex, the inflammasome, that activates the pro-inflammatory caspases, caspase-1 and caspase-5.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,532
Likely benign
4,427
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NLRP14 gene."
2,https://3billion.io/gene/NLGN3/,NLGN3,"NLGN3
Synonyms
HNL3
External resources
NCBI54413
OMIM300336
EnsemblENSG00000196338
HGNCHGNC:14289
Summary
This gene encodes a member of a family of neuronal cell surface proteins. Members of this family may act as splice site-specific ligands for beta-neurexins and may be involved in the formation and remodeling of central nervous system synapses. Mutations in this gene may be associated with autism and Asperger syndrome. Multiple transcript variants encoding distinct isoforms have been identified for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
2,056
Likely benign
6,490
Benign
60","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on NLGN3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
100%
Abnormality of the digestive system
100%
Abnormality of the musculoskeletal system
100%
Abnormality of the nervous system
100%
Abnormality of limbs
50%
Abnormality of the cardiovascular system
50%
Abnormality of the immune system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
3,https://3billion.io/gene/NUP107/,NUP107,"NUP107
Synonyms
NPHS11, NUP84, ODG6, ODG6; GAMOS7
External resources
NCBI57122
OMIM607617
EnsemblENSG00000111581
HGNCHGNC:29914
Summary
This gene encodes a member of the nucleoporin family. The protein is localized to the nuclear rim and is an essential component of the nuclear pore complex (NPC). All molecules entering or leaving the nucleus either diffuse through or are actively transported by the NPC. Alternate transcriptional splice variants of this gene have been observed but have not been thoroughly characterized.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
63
Likely pathogenic
0
VUS
28,128
Likely benign
4,038
Benign
743","Patient phenotypes
Proportions of phenotypes among 61 patients carrying pathogenic or likely pathogenic variants on NUP107 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
32.8%
Abnormality of the musculoskeletal system
24.6%
Abnormality of the genitourinary system
23%
Abnormality of the cardiovascular system
16.4%
Abnormality of blood and blood-forming tissues
11.5%
Abnormality of the integument
11.5%
Abnormality of head or neck
9.8%
Abnormality of limbs
9.8%
Abnormality of the ear
9.8%
Abnormality of the immune system
9.8%
Growth abnormality
9.8%
Abnormality of the digestive system
8.2%
Abnormality of the eye
8.2%
Abnormal cellular phenotype
1.6%
Abnormality of prenatal development or birth
1.6%
Abnormality of the endocrine system
1.6%
Abnormality of the respiratory system
1.6%
Constitutional symptom
1.6%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
4,https://3billion.io/gene/NR1D1/,NR1D1,"NR1D1
Synonyms
EAR1, REVERBA, REVERBalpha, THRA1, THRAL, ear-1, hRev
External resources
NCBI9572
OMIM602408
EnsemblENSG00000126368
HGNCHGNC:7962
Summary
This gene encodes a transcription factor that is a member of the nuclear receptor subfamily 1. The encoded protein is a ligand-sensitive transcription factor that negatively regulates the expression of core clock proteins. In particular this protein represses the circadian clock transcription factor aryl hydrocarbon receptor nuclear translocator-like protein 1 (ARNTL). This protein may also be involved in regulating genes that function in metabolic, inflammatory and cardiovascular processes.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,909
Likely benign
392
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NR1D1 gene."
5,https://3billion.io/gene/NR1D2/,NR1D2,"NR1D2
Synonyms
BD73, EAR-1R, REVERBB, REVERBbeta, RVR
External resources
NCBI9975
OMIM602304
EnsemblENSG00000174738
HGNCHGNC:7963
Summary
This gene encodes a member of the nuclear hormone receptor family, specifically the NR1 subfamily of receptors. The encoded protein functions as a transcriptional repressor and may play a role in circadian rhythms and carbohydrate and lipid metabolism. Alternatively spliced transcript variants have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,732
Likely benign
602
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NR1D2 gene."
6,https://3billion.io/gene/NPC2/,NPC2,"NPC2
Synonyms
EDDM1, HE1
External resources
NCBI10577
OMIM601015
EnsemblENSG00000119655
HGNCHGNC:14537
Summary
This gene encodes a protein containing a lipid recognition domain. The encoded protein may function in regulating the transport of cholesterol through the late endosomal/lysosomal system. Mutations in this gene have been associated with Niemann-Pick disease, type C2 and frontal lobe atrophy.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,059
Likely benign
420
Benign
101","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NPC2 gene."
7,https://3billion.io/gene/NPC1/,NPC1,"NPC1
Synonyms
NPC, POGZ, SLC65A1
External resources
NCBI4864
OMIM607623
EnsemblENSG00000141458
HGNCHGNC:7897
Summary
This gene encodes a large protein that resides in the limiting membrane of endosomes and lysosomes and mediates intracellular cholesterol trafficking via binding of cholesterol to its N-terminal domain. It is predicted to have a cytoplasmic C-terminus, 13 transmembrane domains, and 3 large loops in the lumen of the endosome - the last loop being at the N-terminus. This protein transports low-density lipoproteins to late endosomal/lysosomal compartments where they are hydrolized and released as free cholesterol. Defects in this gene cause Niemann-Pick type C disease, a rare autosomal recessive neurodegenerative disorder characterized by over accumulation of cholesterol and glycosphingolipids in late endosomal/lysosomal compartments.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
15
Likely pathogenic
21
VUS
20,529
Likely benign
19,314
Benign
531","Patient phenotypes
Proportions of phenotypes among 36 patients carrying pathogenic or likely pathogenic variants on NPC1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
33.3%
Abnormality of the musculoskeletal system
25%
Abnormality of head or neck
16.7%
Abnormality of the cardiovascular system
16.7%
Abnormality of blood and blood-forming tissues
13.9%
Abnormality of limbs
13.9%
Abnormality of the eye
13.9%
Abnormality of the genitourinary system
13.9%
Abnormality of the integument
13.9%
Abnormality of the immune system
11.1%
Constitutional symptom
11.1%
Growth abnormality
11.1%
Abnormality of the digestive system
8.3%
Abnormality of the ear
8.3%
Neoplasm
2.8%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
8,https://3billion.io/gene/NACC2/,NACC2,"NACC2
Synonyms
BEND9, BTBD14, BTBD14A, BTBD31, NAC-2, RBB
External resources
NCBI138151
OMIM615786
EnsemblENSG00000148411
HGNCHGNC:23846
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
1
VUS
2,232
Likely benign
3,055
Benign
0","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on NACC2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormal cellular phenotype
100%
Abnormality of blood and blood-forming tissues
100%
Abnormality of the ear
100%
Abnormality of the endocrine system
100%
Abnormality of the immune system
100%
Growth abnormality
100%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
9,https://3billion.io/gene/NACC1/,NACC1,"NACC1
Synonyms
BEND8, BTBD14B, BTBD30, NAC-1, NAC1, NECFM
External resources
NCBI112939
OMIM610672
EnsemblENSG00000160877
HGNCHGNC:20967
Summary
This gene encodes a member of the BTB/POZ protein family. BTB/POZ proteins are involved in several cellular processes including proliferation, apoptosis and transcription regulation. The encoded protein is a transcriptional repressor that plays a role in stem cell self-renewal and pluripotency maintenance. The encoded protein also suppresses transcription of the candidate tumor suppressor Gadd45GIP1, and expression of this gene may play a role in the progression of multiple types of cancer. A pseudogene of this gene is located on the short arm of chromosome 9.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
72
Likely pathogenic
1
VUS
770
Likely benign
1,026
Benign
1,606","Patient phenotypes
Proportions of phenotypes among 58 patients carrying pathogenic or likely pathogenic variants on NACC1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
32.8%
Abnormality of the cardiovascular system
29.3%
Abnormality of the eye
13.8%
Abnormality of the musculoskeletal system
12.1%
Growth abnormality
12.1%
Abnormality of blood and blood-forming tissues
10.3%
Abnormality of the ear
10.3%
Abnormality of head or neck
8.6%
Abnormality of the genitourinary system
6.9%
Abnormality of the digestive system
3.4%
Abnormality of the integument
3.4%
Abnormality of the respiratory system
3.4%
Abnormal cellular phenotype
1.7%
Abnormality of the endocrine system
1.7%
Abnormality of the immune system
1.7%
Neoplasm
1.7%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
10,https://3billion.io/gene/NICN1/,NICN1,"NICN1
Synonyms
-
External resources
NCBI84276
OMIM611516
EnsemblENSG00000145029
HGNCHGNC:18317
Summary
This protein encoded by this gene localizes to the nucleus and is expressed in numerous tissues including brain, testis, liver, and kidney. This refseq contains genomic sequence in its 3' UTR which is not supported by experimental evidence. Computer predictions indicate that this region of the 3' UTR contains hairpin-forming self-complementary sequence which is possibly excised after transcription. This gene has a pseudogene on chromosome X.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,177
Likely benign
1,268
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NICN1 gene."
11,https://3billion.io/gene/NBL1/,NBL1,"NBL1
Synonyms
D1S1733E, DAN, DAND1, NB, NO3
External resources
NCBI4681
OMIM600613
EnsemblENSG00000158747
HGNCHGNC:7650
Summary
This gene product is the founding member of the evolutionarily conserved CAN (Cerberus and DAN) family of proteins, which contain a domain resembling the CTCK (C-terminal cystine knot-like) motif found in a number of signaling molecules. These proteins are secreted, and act as BMP (bone morphogenetic protein) antagonists by binding to BMPs and preventing them from interacting with their receptors. They may thus play an important role during growth and development. Alternatively spliced transcript variants have been identified for this gene. Read-through transcripts between this locus and the upstream mitochondrial inner membrane organizing system 1 gene (GeneID 440574) have been observed.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,777
Likely benign
90
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on NBL1 gene."
