,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/YBEY/,YBEY,"YBEY
Synonyms
C21orf57
External resources
NCBI54059
OMIM617461
EnsemblENSG00000182362
HGNCHGNC:1299
Summary
This gene encodes a highly conserved metalloprotein. A similar protein in bacteria acts as an endoribonuclease, and is thought to function in ribosomal RNA maturation and ribosome assembly. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,063
Likely benign
303
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on YBEY gene."
1,https://3billion.io/gene/YBX1/,YBX1,"YBX1
Synonyms
BP-8, CBF-A, CSDA2, CSDB, DBPB, EFI-A, MDR-NF1, NSEP-1, NSEP1, YB-1, YB1
External resources
NCBI4904
OMIM154030
EnsemblENSG00000065978
HGNCHGNC:8014
Summary
This gene encodes a highly conserved cold shock domain protein that has broad nucleic acid binding properties. The encoded protein functions as both a DNA and RNA binding protein and has been implicated in numerous cellular processes including regulation of transcription and translation, pre-mRNA splicing, DNA reparation and mRNA packaging. This protein is also a component of messenger ribonucleoprotein (mRNP) complexes and may have a role in microRNA processing. This protein can be secreted through non-classical pathways and functions as an extracellular mitogen. Aberrant expression of the gene is associated with cancer proliferation in numerous tissues. This gene may be a prognostic marker for poor outcome and drug resistance in certain cancers. Alternate splicing results in multiple transcript variants. Pseudogenes of this gene are found on multiple chromosomes.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
7
VUS
1,929
Likely benign
862
Benign
0","Patient phenotypes
Proportions of phenotypes among 8 patients carrying pathogenic or likely pathogenic variants on YBX1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
25%
Abnormality of limbs
25%
Abnormality of the ear
25%
Abnormality of the eye
25%
Abnormality of the integument
25%
Abnormality of the musculoskeletal system
25%
Abnormality of the breast
12.5%
Growth abnormality
12.5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
2,https://3billion.io/gene/YBX3/,YBX3,"YBX3
Synonyms
CSDA, CSDA1, DBPA, ZONAB
External resources
NCBI8531
OMIM603437
EnsemblENSG00000060138
HGNCHGNC:2428
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,018
Likely benign
824
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on YBX3 gene."
3,https://3billion.io/gene/YBX2/,YBX2,"YBX2
Synonyms
CONTRIN, CSDA3, DBPC, MSY2
External resources
NCBI51087
OMIM611447
EnsemblENSG00000006047
HGNCHGNC:17948
Summary
This gene encodes a nucleic acid binding protein which is highly expressed in germ cells. The encoded protein binds to a Y-box element in the promoters of certain genes but also binds to mRNA transcribed from these genes. Pseudogenes for this gene are located on chromosome 10 and 15.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,996
Likely benign
7,288
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on YBX2 gene."
4,https://3billion.io/gene/YWHAQ/,YWHAQ,"YWHAQ
Synonyms
14-3-3, 1C5, HS1
External resources
NCBI10971
OMIM609009
EnsemblENSG00000134308
HGNCHGNC:12854
Summary
This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse and rat orthologs. This gene is upregulated in patients with amyotrophic lateral sclerosis. It contains in its 5' UTR a 6 bp tandem repeat sequence which is polymorphic, however, there is no correlation between the repeat number and the disease.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,008
Likely benign
52
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on YWHAQ gene."
5,https://3billion.io/gene/YWHAH/,YWHAH,"YWHAH
Synonyms
YWHA1
External resources
NCBI7533
OMIM113508
EnsemblENSG00000128245
HGNCHGNC:12853
Summary
This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 99% identical to the mouse, rat and bovine orthologs. This gene contains a 7 bp repeat sequence in its 5' UTR, and changes in the number of this repeat have been associated with early-onset schizophrenia and psychotic bipolar disorder.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
633
Likely benign
63
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on YWHAH gene."
6,https://3billion.io/gene/YWHAB/,YWHAB,"YWHAB
Synonyms
GW128, HEL-S-1, HS1, KCIP-1, YWHAA
External resources
NCBI7529
OMIM601289
EnsemblENSG00000166913
HGNCHGNC:12849
Summary
This gene encodes a protein belonging to the 14-3-3 family of proteins, members of which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals. The encoded protein has been shown to interact with RAF1 and CDC25 phosphatases, suggesting that it may play a role in linking mitogenic signaling and the cell cycle machinery. Two transcript variants, which encode the same protein, have been identified for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
18,417
Likely benign
168
Benign
0","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on YWHAB gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
100%
Abnormality of the nervous system
100%
Abnormality of head or neck
50%
Abnormality of limbs
50%
Abnormality of the cardiovascular system
50%
Abnormality of the digestive system
50%
Abnormality of the immune system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
7,https://3billion.io/gene/YWHAE/,YWHAE,"YWHAE
Synonyms
14-3-3E, HEL2, KCIP-1, MDCR, MDS
External resources
NCBI7531
OMIM605066
EnsemblENSG00000108953
HGNCHGNC:12851
Summary
This gene product belongs to the 14-3-3 family of proteins which mediate signal transduction by binding to phosphoserine-containing proteins. This highly conserved protein family is found in both plants and mammals, and this protein is 100% identical to the mouse ortholog. It interacts with CDC25 phosphatases, RAF1 and IRS1 proteins, suggesting its role in diverse biochemical activities related to signal transduction, such as cell division and regulation of insulin sensitivity. It has also been implicated in the pathogenesis of small cell lung cancer. Two transcript variants, one protein-coding and the other non-protein-coding, have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
1,763
Likely benign
5,155
Benign
0","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on YWHAE gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the ear
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
8,https://3billion.io/gene/YY1AP1/,YY1AP1,"YY1AP1
Synonyms
GRNG, HCCA1, HCCA2, YY1AP
External resources
NCBI55249
OMIM607860
EnsemblENSG00000163374
HGNCHGNC:30935
Summary
The encoded gene product presumably interacts with YY1 protein; however, its exact function is not known. Alternative splicing results in multiple transcript variants encoding different isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
24
Likely pathogenic
27
VUS
8,156
Likely benign
1,708
Benign
0","Patient phenotypes
Proportions of phenotypes among 36 patients carrying pathogenic or likely pathogenic variants on YY1AP1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
38.9%
Abnormality of the cardiovascular system
16.7%
Abnormality of the musculoskeletal system
13.9%
Abnormality of the eye
11.1%
Abnormality of head or neck
8.3%
Abnormality of the digestive system
8.3%
Abnormality of the ear
8.3%
Abnormality of the genitourinary system
8.3%
Abnormality of the immune system
5.6%
Abnormality of the integument
5.6%
Growth abnormality
5.6%
Abnormality of blood and blood-forming tissues
2.8%
Abnormality of limbs
2.8%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
9,https://3billion.io/gene/YRDC/,YRDC,"YRDC
Synonyms
DRIP3, GAMOS10, IRIP, SUA5
External resources
NCBI79693
OMIM612276
EnsemblENSG00000196449
HGNCHGNC:28905
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
4
Likely pathogenic
0
VUS
1,464
Likely benign
393
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on YRDC gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
75%
Abnormality of the eye
25%
Abnormality of the genitourinary system
25%
Abnormality of the nervous system
25%
Abnormality of the respiratory system
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
