,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/KRTAP2-3/,KRTAP2-3,"KRTAP2-3
Synonyms
KAP2.3, KAP2.4, KRTAP2-4, KRTAP2.3, KRTAP2.4
External resources
NCBI730755
EnsemblENSG00000212724
HGNCHGNC:18906
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
12,918
Likely benign
492
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP2-3 gene."
1,https://3billion.io/gene/KRTAP2-2/,KRTAP2-2,"KRTAP2-2
Synonyms
KAP2.1, KAP2.2, KRTAP2-1, KRTAP2.1A, KRTAP2.1B
External resources
NCBI728279
EnsemblENSG00000214518
HGNCHGNC:18905
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
10,137
Likely benign
3,274
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP2-2 gene."
2,https://3billion.io/gene/KRTAP2-1/,KRTAP2-1,"KRTAP2-1
Synonyms
KAP2.1A, KRTAP2.1A
External resources
NCBI81872
EnsemblENSG00000212725
HGNCHGNC:16775
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
809
Likely benign
1,124
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP2-1 gene."
3,https://3billion.io/gene/KRTAP2-4/,KRTAP2-4,"KRTAP2-4
Synonyms
KAP2.1B, KAP2.3, KAP2.4, KRTAP2-3, KRTAP2.3, KRTAP2.4
External resources
NCBI85294
EnsemblENSG00000213417
HGNCHGNC:18891
Summary
This protein is a member of the keratin-associated protein (KAP) family. The KAP proteins form a matrix of keratin intermediate filaments which contribute to the structure of hair fibers. KAP family members appear to have unique, family-specific amino- and carboxyl-terminal regions and are subdivided into three multi-gene families according to amino acid composition: the high sulfur, the ultrahigh sulfur, and the high tyrosine/glycine KAPs. This protein is a member of the high sulfur KAP family and the gene is localized to a cluster of KAPs at 17q12-q21.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,604
Likely benign
565
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP2-4 gene."
4,https://3billion.io/gene/KRTAP11-1/,KRTAP11-1,"KRTAP11-1
Synonyms
HACL-1, HACL1, KAP11.1
External resources
NCBI337880
OMIM600064
EnsemblENSG00000182591
HGNCHGNC:18922
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
593
Likely benign
180
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP11-1 gene."
5,https://3billion.io/gene/KDM1A/,KDM1A,"KDM1A
Synonyms
AOF2, BHC110, CPRF, KDM1, LSD1
External resources
NCBI23028
OMIM609132
EnsemblENSG00000004487
HGNCHGNC:29079
Summary
This gene encodes a nuclear protein containing a SWIRM domain, a FAD-binding motif, and an amine oxidase domain. This protein is a component of several histone deacetylase complexes, though it silences genes by functioning as a histone demethylase. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
3,777
Likely benign
2,919
Benign
9,241","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on KDM1A gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of blood and blood-forming tissues
50%
Abnormality of the ear
50%
Abnormality of the immune system
50%
Abnormal cellular phenotype
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
6,https://3billion.io/gene/KDM1B/,KDM1B,"KDM1B
Synonyms
AOF1, C6orf193, LSD2
External resources
NCBI221656
OMIM613081
EnsemblENSG00000165097
HGNCHGNC:21577
Summary
Flavin-dependent histone demethylases, such as KDM1B, regulate histone lysine methylation, an epigenetic mark that regulates gene expression and chromatin function (Karytinos et al., 2009 [PubMed 19407342]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,393
Likely benign
1,166
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KDM1B gene."
7,https://3billion.io/gene/KRR1/,KRR1,"KRR1
Synonyms
HRB2, RIP-1
External resources
NCBI11103
OMIM612817
EnsemblENSG00000111615
HGNCHGNC:5176
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
27,908
Likely benign
8,965
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRR1 gene."
8,https://3billion.io/gene/KRTAP1-3/,KRTAP1-3,"KRTAP1-3
Synonyms
KAP1.2, KAP1.3, KAP1.6, KAP1.8A, KAP1.8B, KAP1.9, KRTAP1.3
External resources
NCBI81850
OMIM608820
EnsemblENSG00000221880
HGNCHGNC:16771
Summary
This protein is a member of the keratin-associated protein (KAP) family. The KAP proteins form a matrix of keratin intermediate filaments which contribute to the structure of hair fibers. KAP family members appear to have unique, family-specific amino- and carboxyl-terminal regions and are subdivided into three multi-gene families according to amino acid composition: the high sulfur, the ultrahigh sulfur, and the high tyrosine/glycine KAPs. This protein is a member of the high sulfur KAP family and the gene is localized to a cluster of KAPs at 17q12-q21.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,892
Likely benign
364
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP1-3 gene."
9,https://3billion.io/gene/KRTAP1-4/,KRTAP1-4,"KRTAP1-4
Synonyms
KAP1.4, KRTAP1.4
External resources
NCBI728255
OMIM608821
EnsemblENSG00000204887
HGNCHGNC:18904
Summary
The main structural proteins of mammalian hair fiber are the hair keratins (see MIM 601077) and the keratin-associated proteins (KAPs), which form a rigid and resistant hair shaft through extensive disulfide bond crosslinking with the abundant cysteines of hair keratins (Shimomura et al., 2002 [PubMed 12228244]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,541
Likely benign
300
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on KRTAP1-4 gene."
