,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/TCOF1/,TCOF1,"TCOF1
Synonyms
MFD1, TCS, TCS1, treacle
External resources
NCBI6949
OMIM606847
EnsemblENSG00000070814
HGNCHGNC:11654
Summary
This gene encodes a nucleolar protein with a LIS1 homology domain. The protein is involved in ribosomal DNA gene transcription through its interaction with upstream binding factor (UBF). Mutations in this gene have been associated with Treacher Collins syndrome, a disorder which includes abnormal craniofacial development. Multiple transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
23
Likely pathogenic
0
VUS
2,947
Likely benign
2,389
Benign
3,562","Patient phenotypes
Proportions of phenotypes among 17 patients carrying pathogenic or likely pathogenic variants on TCOF1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
47.1%
Abnormality of head or neck
41.2%
Abnormality of the nervous system
35.3%
Abnormality of the ear
29.4%
Abnormality of the eye
23.5%
Growth abnormality
17.6%
Abnormality of limbs
11.8%
Abnormality of the cardiovascular system
11.8%
Abnormality of the genitourinary system
11.8%
Abnormality of the immune system
11.8%
Abnormal cellular phenotype
5.9%
Abnormality of blood and blood-forming tissues
5.9%
Abnormality of the digestive system
5.9%
Abnormality of the integument
5.9%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
1,https://3billion.io/gene/TRHR/,TRHR,"TRHR
Synonyms
CHNG7, TRH-R
External resources
NCBI7201
OMIM188545
EnsemblENSG00000174417
HGNCHGNC:12299
Summary
This gene encodes a G protein-coupled receptor for thyrotropin-releasing hormone (TRH). Upon binding to TRH, this receptor activates the inositol phospholipid-calcium-protein kinase C transduction pathway. Mutations in this gene have been associated with generalized thyrotropin-releasing hormone resistance.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
424
Likely benign
390
Benign
0","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on TRHR gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
100%
Abnormality of the eye
50%
Abnormality of the musculoskeletal system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
2,https://3billion.io/gene/TMEM200B/,TMEM200B,"TMEM200B
Synonyms
TTMB
External resources
NCBI399474
EnsemblENSG00000253304
HGNCHGNC:33785
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
592
Likely benign
725
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TMEM200B gene."
3,https://3billion.io/gene/TIMM44/,TIMM44,"TIMM44
Synonyms
TIM44
External resources
NCBI10469
OMIM605058
EnsemblENSG00000104980
HGNCHGNC:17316
Summary
This gene encodes a peripheral membrane protein associated with the mitochondrial inner membrane translocase, which functions in the import of proteins across the mitochondrial inner membrane and into the mitochondrial matrix. The encoded protein mediates binding of mitochondrial heat shock protein 70 to the translocase of inner mitochondrial membrane 23 (TIM23) complex. Expression of this gene is upregulated in kidney in a mouse model of diabetes. A mutation in this gene is associated with familial oncocytic thyroid carcinoma.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,384
Likely benign
11,319
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TIMM44 gene."
4,https://3billion.io/gene/TTC30A/,TTC30A,"TTC30A
Synonyms
FAP259, IFT70A, TTC30B
External resources
NCBI92104
EnsemblENSG00000197557
HGNCHGNC:25853
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,610
Likely benign
330
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TTC30A gene."
5,https://3billion.io/gene/THSD8/,THSD8,"THSD8
Synonyms
-
External resources
NCBI111644133
EnsemblENSG00000284491
HGNCHGNC:53785
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,524
Likely benign
0
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on THSD8 gene."
6,https://3billion.io/gene/TDG/,TDG,"TDG
Synonyms
hTDG
External resources
NCBI6996
OMIM601423
EnsemblENSG00000139372
HGNCHGNC:11700
Summary
The protein encoded by this gene belongs to the TDG/mug DNA glycosylase family. Thymine-DNA glycosylase (TDG) removes thymine moieties from G/T mismatches by hydrolyzing the carbon-nitrogen bond between the sugar-phosphate backbone of DNA and the mispaired thymine. With lower activity, this enzyme also removes thymine from C/T and T/T mispairings. TDG can also remove uracil and 5-bromouracil from mispairings with guanine. This enzyme plays a central role in cellular defense against genetic mutation caused by the spontaneous deamination of 5-methylcytosine and cytosine. This gene may have a pseudogene in the p arm of chromosome 12.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
58,588
Likely benign
4,353
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TDG gene."
7,https://3billion.io/gene/TAGLN/,TAGLN,"TAGLN
Synonyms
SM22, SM22-alpha, SMCC, TAGLN1, WS3-10
External resources
NCBI6876
OMIM600818
EnsemblENSG00000149591
HGNCHGNC:11553
Summary
This gene encodes a shape change and transformation sensitive actin-binding protein which belongs to the calponin family. It is ubiquitously expressed in vascular and visceral smooth muscle, and is an early marker of smooth muscle differentiation. The encoded protein is thought to be involved in calcium-independent smooth muscle contraction. It acts as a tumor suppressor, and the loss of its expression is an early event in cell transformation and the development of some tumors, coinciding with cellular plasticity. The encoded protein has a domain architecture consisting of an N-terminal calponin homology (CH) domain and a C-terminal calponin-like (CLIK) domain. Mice with a knockout of the orthologous gene are viable and fertile but their vascular smooth muscle cells exhibit alterations in the distribution of the actin filament and changes in cytoskeletal organization.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
20,713
Likely benign
252
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TAGLN gene."
8,https://3billion.io/gene/TDGF1/,TDGF1,"TDGF1
Synonyms
CR, CR-1, CRGF, CRIPTO
External resources
NCBI6997
OMIM187395
EnsemblENSG00000241186
HGNCHGNC:11701
Summary
This gene encodes an epidermal growth factor-related protein that contains a cripto, FRL-1, and cryptic domain. The encoded protein is an extracellular, membrane-bound signaling protein that plays an essential role in embryonic development and tumor growth. Mutations in this gene are associated with forebrain defects. Pseudogenes of this gene are found on chromosomes 2, 3, 6, 8, 19 and X. Alternate splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
551
Likely benign
12,832
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TDGF1 gene."
9,https://3billion.io/gene/TRIML2/,TRIML2,"TRIML2
Synonyms
SPRYD6
External resources
NCBI205860
EnsemblENSG00000179046
HGNCHGNC:26378
Summary
This gene encodes a member of the tri-partite motif (TRIM) family of proteins. This protein may be regulated by the tumor suppressor p53 and may regulate p53 through the enhancement of p53 SUMOylation. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,291
Likely benign
3,698
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on TRIML2 gene."
