,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/ITGA8/,ITGA8,"ITGA8
Synonyms
-
External resources
NCBI8516
OMIM604063
EnsemblENSG00000077943
HGNCHGNC:6144
Summary
Integrins are heterodimeric transmembrane receptor proteins that mediate numerous cellular processes including cell adhesion, cytoskeletal rearrangement, and activation of cell signaling pathways. Integrins are composed of alpha and beta subunits. This gene encodes the alpha 8 subunit of the heterodimeric integrin alpha8beta1 protein. The encoded protein is a single-pass type 1 membrane protein that contains multiple FG-GAP repeats. This repeat is predicted to fold into a beta propeller structure. This gene regulates the recruitment of mesenchymal cells into epithelial structures, mediates cell-cell interactions, and regulates neurite outgrowth of sensory and motor neurons. The integrin alpha8beta1 protein thus plays an important role in wound-healing and organogenesis. Mutations in this gene have been associated with renal hypodysplasia/aplasia-1 (RHDA1) and with several animal models of chronic kidney disease. Alternate splicing results in multiple transcript variants encoding distinct isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
15
Likely pathogenic
0
VUS
9,695
Likely benign
2,786
Benign
157","Patient phenotypes
Proportions of phenotypes among 15 patients carrying pathogenic or likely pathogenic variants on ITGA8 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the ear
20%
Abnormality of the eye
20%
Abnormality of the musculoskeletal system
20%
Abnormality of the nervous system
20%
Abnormality of limbs
13.3%
Abnormality of the cardiovascular system
13.3%
Abnormality of blood and blood-forming tissues
6.7%
Abnormality of head or neck
6.7%
Abnormality of the integument
6.7%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/ITGA9/,ITGA9,"ITGA9
Synonyms
ALPHA-RLC, ITGA4L, RLC
External resources
NCBI3680
OMIM603963
EnsemblENSG00000144668
HGNCHGNC:6145
Summary
This gene encodes an alpha integrin. Integrins are heterodimeric integral membrane glycoproteins composed of an alpha chain and a beta chain that mediate cell-cell and cell-matrix adhesion. The protein encoded by this gene, when bound to the beta 1 chain, forms an integrin that is a receptor for VCAM1, cytotactin and osteopontin. Expression of this gene has been found to be upregulated in small cell lung cancers.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
18,857
Likely benign
2,654
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ITGA9 gene."
2,https://3billion.io/gene/ITGA1/,ITGA1,"ITGA1
Synonyms
CD49a, VLA1
External resources
NCBI3672
OMIM192968
EnsemblENSG00000213949
HGNCHGNC:6134
Summary
This gene encodes the alpha 1 subunit of integrin receptors. This protein heterodimerizes with the beta 1 subunit to form a cell-surface receptor for collagen and laminin. The heterodimeric receptor is involved in cell-cell adhesion and may play a role in inflammation and fibrosis. The alpha 1 subunit contains an inserted (I) von Willebrand factor type I domain which is thought to be involved in collagen binding.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,986
Likely benign
3,760
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ITGA1 gene."
3,https://3billion.io/gene/ITGA2/,ITGA2,"ITGA2
Synonyms
BR, CD49B, GPIa, HPA-5, VLA-2, VLAA2
External resources
NCBI3673
OMIM192974
EnsemblENSG00000164171
HGNCHGNC:6137
Summary
This gene encodes the alpha subunit of a transmembrane receptor for collagens and related proteins. The encoded protein forms a heterodimer with a beta subunit and mediates the adhesion of platelets and other cell types to the extracellular matrix. Loss of the encoded protein is associated with bleeding disorder platelet-type 9. Antibodies against this protein are found in several immune disorders, including neonatal alloimmune thrombocytopenia. This gene is located adjacent to a related alpha subunit gene. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,727
Likely benign
6,479
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ITGA2 gene."
4,https://3billion.io/gene/ITGA3/,ITGA3,"ITGA3
Synonyms
CD49C, FRP-2, GAP-B3, GAPB3, ILNEB, MSK18, VCA-2, VL3A, VLA3a
External resources
NCBI3675
OMIM605025
EnsemblENSG00000005884
HGNCHGNC:6139
Summary
The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function as cell surface adhesion molecules. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 3 subunit. This subunit joins with a beta 1 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. Expression of this gene may be correlated with breast cancer metastasis.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
12
Likely pathogenic
0
VUS
6,949
Likely benign
3,925
Benign
998","Patient phenotypes
Proportions of phenotypes among 8 patients carrying pathogenic or likely pathogenic variants on ITGA3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
37.5%
Abnormality of the ear
25%
Abnormality of the genitourinary system
25%
Abnormality of the nervous system
25%
Abnormality of the eye
12.5%
Growth abnormality
12.5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
5,https://3billion.io/gene/ITGA4/,ITGA4,"ITGA4
Synonyms
CD49D, IA4
External resources
NCBI3676
OMIM192975
EnsemblENSG00000115232
HGNCHGNC:6140
Summary
The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 4 subunit. This subunit associates with a beta 1 or beta 7 subunit to form an integrin that may play a role in cell motility and migration. This integrin is a therapeutic target for the treatment of multiple sclerosis, Crohn's disease and inflammatory bowel disease. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,953
Likely benign
2,790
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ITGA4 gene."
6,https://3billion.io/gene/ITGA5/,ITGA5,"ITGA5
Synonyms
CD49e, FNRA, VLA-5, VLA5A
External resources
NCBI3678
OMIM135620
EnsemblENSG00000161638
HGNCHGNC:6141
Summary
The product of this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha subunit and a beta subunit that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 5 subunit. This subunit associates with the beta 1 subunit to form a fibronectin receptor. This integrin may promote tumor invasion, and higher expression of this gene may be correlated with shorter survival time in lung cancer patients. Note that the integrin alpha 5 and integrin alpha V subunits are encoded by distinct genes.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
5
Likely pathogenic
0
VUS
3,804
Likely benign
1,869
Benign
0","Patient phenotypes
Proportions of phenotypes among 5 patients carrying pathogenic or likely pathogenic variants on ITGA5 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of limbs
20%
Abnormality of the cardiovascular system
20%
Abnormality of the digestive system
20%
Abnormality of the ear
20%
Abnormality of the endocrine system
20%
Abnormality of the genitourinary system
20%
Abnormality of the immune system
20%
Abnormality of the musculoskeletal system
20%
Abnormality of the nervous system
20%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the eye
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
7,https://3billion.io/gene/ITGA6/,ITGA6,"ITGA6
Synonyms
CD49f, ITGA6B, VLA-6
External resources
NCBI3655
OMIM147556
EnsemblENSG00000091409
HGNCHGNC:6142
Summary
The gene encodes a member of the integrin alpha chain family of proteins. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain that function in cell surface adhesion and signaling. The encoded preproprotein is proteolytically processed to generate light and heavy chains that comprise the alpha 6 subunit. This subunit may associate with a beta 1 or beta 4 subunit to form an integrin that interacts with extracellular matrix proteins including members of the laminin family. The alpha 6 beta 4 integrin may promote tumorigenesis, while the alpha 6 beta 1 integrin may negatively regulate erbB2/HER2 signaling. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
175
Likely pathogenic
0
VUS
12,034
Likely benign
2,241
Benign
103","Patient phenotypes
Proportions of phenotypes among 171 patients carrying pathogenic or likely pathogenic variants on ITGA6 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
29.2%
Abnormality of the cardiovascular system
24%
Abnormality of the ear
15.2%
Abnormality of the musculoskeletal system
12.9%
Abnormality of head or neck
9.9%
Abnormality of the eye
9.9%
Abnormality of blood and blood-forming tissues
8.2%
Abnormality of the digestive system
5.8%
Growth abnormality
5.8%
Abnormality of the immune system
4.7%
Abnormality of the integument
4.7%
Abnormality of the genitourinary system
4.1%
Abnormality of limbs
1.8%
Abnormal cellular phenotype
1.2%
Abnormality of prenatal development or birth
1.2%
Abnormality of the endocrine system
1.2%
Abnormality of the respiratory system
1.2%
Neoplasm
1.2%
Constitutional symptom
0.6%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
8,https://3billion.io/gene/ITGA7/,ITGA7,"ITGA7
Synonyms
-
External resources
NCBI3679
OMIM600536
EnsemblENSG00000135424
HGNCHGNC:6143
Summary
The protein encoded by this gene belongs to the integrin alpha chain family. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. They mediate a wide spectrum of cell-cell and cell-matrix interactions, and thus play a role in cell migration, morphologic development, differentiation, and metastasis. This protein functions as a receptor for the basement membrane protein laminin-1. It is mainly expressed in skeletal and cardiac muscles and may be involved in differentiation and migration processes during myogenesis. Defects in this gene are associated with congenital myopathy. Alternatively spliced transcript variants encoding different isoforms have been noted for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
27
Likely pathogenic
0
VUS
8,241
Likely benign
3,480
Benign
793","Patient phenotypes
Proportions of phenotypes among 22 patients carrying pathogenic or likely pathogenic variants on ITGA7 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
50%
Abnormality of the eye
31.8%
Abnormality of the musculoskeletal system
18.2%
Abnormality of head or neck
13.6%
Abnormality of limbs
13.6%
Abnormality of the genitourinary system
13.6%
Growth abnormality
13.6%
Abnormality of the cardiovascular system
9.1%
Abnormality of the integument
9.1%
Abnormality of the digestive system
4.5%
Abnormality of the ear
4.5%
Abnormality of the endocrine system
4.5%
Abnormality of the immune system
4.5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
9,https://3billion.io/gene/ITGAX/,ITGAX,"ITGAX
Synonyms
CD11C, SLEB6
External resources
NCBI3687
OMIM151510
EnsemblENSG00000140678
HGNCHGNC:6152
Summary
This gene encodes the integrin alpha X chain protein. Integrins are heterodimeric integral membrane proteins composed of an alpha chain and a beta chain. This protein combines with the beta 2 chain (ITGB2) to form a leukocyte-specific integrin referred to as inactivated-C3b (iC3b) receptor 4 (CR4). The alpha X beta 2 complex seems to overlap the properties of the alpha M beta 2 integrin in the adherence of neutrophils and monocytes to stimulated endothelium cells, and in the phagocytosis of complement coated particles. Two transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,202
Likely benign
5,461
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ITGAX gene."
