,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/POU5F1B/,POU5F1B,"POU5F1B
Synonyms
OCT4-PG1, OCT4PG1, OTF3C, OTF3P1, POU5F1P1, POU5F1P4, POU5FLC20, POU5FLC8
External resources
NCBI5462
OMIM615739
EnsemblENSG00000212993
HGNCHGNC:9223
Summary
This intronless gene was thought to be a transcribed pseudogene of POU class 5 homeobox 1, however, it has been reported that this gene can encode a functional protein. The encoded protein is nearly the same length as and highly similar to the POU class 5 homeobox 1 transcription factor, has been shown to be a weak transcriptional activator and may play a role in carcinogenesis and eye development.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
654
Likely benign
226
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on POU5F1B gene."
1,https://3billion.io/gene/PHOX2A/,PHOX2A,"PHOX2A
Synonyms
ARIX, CFEOM2, FEOM2, NCAM2, PMX2A
External resources
NCBI401
OMIM602753
EnsemblENSG00000165462
HGNCHGNC:691
Summary
The protein encoded by this gene contains a paired-like homeodomain most similar to that of the Drosophila aristaless gene product. The encoded protein plays a central role in development of the autonomic nervous system. It regulates the expression of tyrosine hydroxylase and dopamine beta-hydroxylase, two catecholaminergic biosynthetic enzymes essential for the differentiation and maintenance of the noradrenergic neurotransmitter phenotype. The encoded protein has also been shown to regulate transcription of the alpha3 nicotinic acetylcholine receptor gene. Mutations in this gene have been associated with autosomal recessive congenital fibrosis of the extraocular muscles.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
0
VUS
4,223
Likely benign
3,165
Benign
30","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on PHOX2A gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of blood and blood-forming tissues
100%
Abnormality of the cardiovascular system
100%
Abnormality of the digestive system
100%
Abnormality of the genitourinary system
100%
Abnormality of the immune system
100%
Abnormal cellular phenotype
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
2,https://3billion.io/gene/PHOX2B/,PHOX2B,"PHOX2B
Synonyms
CCHS, NBLST2, NBPhox, PMX2B
External resources
NCBI8929
OMIM603851
EnsemblENSG00000109132
HGNCHGNC:9143
Summary
The DNA-associated protein encoded by this gene is a member of the paired family of homeobox proteins localized to the nucleus. The protein functions as a transcription factor involved in the development of several major noradrenergic neuron populations and the determination of neurotransmitter phenotype. The gene product is linked to enhancement of second messenger-mediated activation of the dopamine beta-hydroylase, c-fos promoters and several enhancers, including cyclic amp-response element and serum-response element. Expansion of a 20 amino acid polyalanine tract in this protein by 5-13 aa has been associated with congenital central hypoventilation syndrome.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
1
VUS
321
Likely benign
504
Benign
1,307","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on PHOX2B gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
100%
Abnormality of the digestive system
100%
Abnormality of the musculoskeletal system
100%
Abnormality of the nervous system
100%
Abnormality of the respiratory system
100%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
3,https://3billion.io/gene/PRKAR2A/,PRKAR2A,"PRKAR2A
Synonyms
PKR2, PRKAR2
External resources
NCBI5576
OMIM176910
EnsemblENSG00000114302
HGNCHGNC:9391
Summary
cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins. The inactive kinase holoenzyme is a tetramer composed of two regulatory and two catalytic subunits. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. The protein encoded by this gene is one of the regulatory subunits. This subunit can be phosphorylated by the activated catalytic subunit. It may interact with various A-kinase anchoring proteins and determine the subcellular localization of cAMP-dependent protein kinase. This subunit has been shown to regulate protein transport from endosomes to the Golgi apparatus and further to the endoplasmic reticulum (ER).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,111
Likely benign
443
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PRKAR2A gene."
4,https://3billion.io/gene/PRKAR2B/,PRKAR2B,"PRKAR2B
Synonyms
PRKAR2, RII-BETA
External resources
NCBI5577
OMIM176912
EnsemblENSG00000005249
HGNCHGNC:9392
Summary
cAMP is a signaling molecule important for a variety of cellular functions. cAMP exerts its effects by activating the cAMP-dependent protein kinase, which transduces the signal through phosphorylation of different target proteins. The inactive kinase holoenzyme is a tetramer composed of two regulatory and two catalytic subunits. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. Four different regulatory subunits and three catalytic subunits have been identified in humans. The protein encoded by this gene is one of the regulatory subunits. This subunit can be phosphorylated by the activated catalytic subunit. This subunit has been shown to interact with and suppress the transcriptional activity of the cAMP responsive element binding protein 1 (CREB1) in activated T cells. Knockout studies in mice suggest that this subunit may play an important role in regulating energy balance and adiposity. The studies also suggest that this subunit may mediate the gene induction and cataleptic behavior induced by haloperidol.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,849
Likely benign
725
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PRKAR2B gene."
5,https://3billion.io/gene/PHACTR4/,PHACTR4,"PHACTR4
Synonyms
PPP1R124
External resources
NCBI65979
OMIM608726
EnsemblENSG00000204138
HGNCHGNC:25793
Summary
This gene encodes a member of the phosphatase and actin regulator (PHACTR) family. Other PHACTR family members have been shown to inhibit protein phosphatase 1 (PP1) activity, and the homolog of this gene in the mouse has been shown to interact with actin and PP1. Multiple transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,541
Likely benign
7,764
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PHACTR4 gene."
6,https://3billion.io/gene/PHACTR1/,PHACTR1,"PHACTR1
Synonyms
DEE70, EIEE70, RPEL, RPEL1, dJ257A7.2
External resources
NCBI221692
OMIM608723
EnsemblENSG00000112137
HGNCHGNC:20990
Summary
The protein encoded by this gene is a member of the phosphatase and actin regulator family of proteins. This family member can bind actin and regulate the reorganization of the actin cytoskeleton. It plays a role in tubule formation and in endothelial cell survival. Polymorphisms in this gene are associated with susceptibility to myocardial infarction, coronary artery disease and cervical artery dissection. Alternative splicing of this gene results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,517
Likely benign
2,350
Benign
3,232","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PHACTR1 gene."
7,https://3billion.io/gene/PHACTR3/,PHACTR3,"PHACTR3
Synonyms
C20orf101, H17739, PPP1R123, SCAPIN1, SCAPININ
External resources
NCBI116154
OMIM608725
EnsemblENSG00000087495
HGNCHGNC:15833
Summary
This gene encodes a member of the phosphatase and actin regulator protein family. The encoded protein is associated with the nuclear scaffold in proliferating cells, and binds to actin and the catalytic subunit of protein phosphatase-1, suggesting that it functions as a regulatory subunit of protein phosphatase-1. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
14
Likely pathogenic
0
VUS
5,212
Likely benign
2,607
Benign
0","Patient phenotypes
Proportions of phenotypes among 11 patients carrying pathogenic or likely pathogenic variants on PHACTR3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
54.5%
Abnormality of head or neck
45.5%
Abnormality of limbs
45.5%
Abnormality of the nervous system
36.4%
Abnormality of the eye
27.3%
Abnormality of the genitourinary system
27.3%
Abnormality of the cardiovascular system
18.2%
Abnormality of the digestive system
18.2%
Growth abnormality
18.2%
Neoplasm
18.2%
Abnormality of the breast
9.1%
Abnormality of the ear
9.1%
Abnormality of the integument
9.1%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
8,https://3billion.io/gene/PTCH2/,PTCH2,"PTCH2
Synonyms
PTC2
External resources
NCBI8643
OMIM603673
EnsemblENSG00000117425
HGNCHGNC:9586
Summary
This gene encodes a transmembrane receptor of the patched gene family. The encoded protein may function as a tumor suppressor in the hedgehog signaling pathway. Alterations in this gene have been associated with nevoid basal cell carcinoma syndrome, basal cell carcinoma, medulloblastoma, and susceptibility to congenital macrostomia. Alternatively spliced transcript variants have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
138
Likely pathogenic
0
VUS
2,482
Likely benign
935
Benign
529","Patient phenotypes
Proportions of phenotypes among 133 patients carrying pathogenic or likely pathogenic variants on PTCH2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
30.8%
Abnormality of the cardiovascular system
27.1%
Abnormality of the musculoskeletal system
21.1%
Abnormality of the ear
17.3%
Abnormality of head or neck
16.5%
Abnormality of the eye
12.8%
Growth abnormality
9.8%
Abnormality of blood and blood-forming tissues
8.3%
Abnormality of limbs
8.3%
Abnormality of the digestive system
7.5%
Abnormality of the genitourinary system
7.5%
Abnormality of the integument
6.8%
Abnormality of the endocrine system
4.5%
Abnormality of the immune system
4.5%
Neoplasm
3.8%
Abnormality of prenatal development or birth
1.5%
Abnormality of the respiratory system
1.5%
Constitutional symptom
1.5%
Abnormality of the voice
0.8%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%"
9,https://3billion.io/gene/PTCH1/,PTCH1,"PTCH1
Synonyms
BCNS, NBCCS, PTC, PTC1, PTCH
External resources
NCBI5727
OMIM601309
EnsemblENSG00000185920
HGNCHGNC:9585
Summary
This gene encodes a member of the patched family of proteins and a component of the hedgehog signaling pathway. Hedgehog signaling is important in embryonic development and tumorigenesis. The encoded protein is the receptor for the secreted hedgehog ligands, which include sonic hedgehog, indian hedgehog and desert hedgehog. Following binding by one of the hedgehog ligands, the encoded protein is trafficked away from the primary cilium, relieving inhibition of the G-protein-coupled receptor smoothened, which results in activation of downstream signaling. Mutations of this gene have been associated with basal cell nevus syndrome and holoprosencephaly.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
10
Likely pathogenic
1
VUS
2,544
Likely benign
2,831
Benign
5,885","Patient phenotypes
Proportions of phenotypes among 11 patients carrying pathogenic or likely pathogenic variants on PTCH1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
45.5%
Abnormality of the nervous system
36.4%
Abnormality of head or neck
27.3%
Abnormality of the integument
27.3%
Abnormality of limbs
18.2%
Abnormality of the eye
18.2%
Abnormality of the cardiovascular system
9.1%
Abnormality of the digestive system
9.1%
Abnormality of the ear
9.1%
Abnormality of the genitourinary system
9.1%
Constitutional symptom
9.1%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Growth abnormality
0%
Neoplasm
0%"
10,https://3billion.io/gene/PTPN18/,PTPN18,"PTPN18
Synonyms
BDP1, PTP-HSCF
External resources
NCBI26469
OMIM606587
EnsemblENSG00000072135
HGNCHGNC:9649
Summary
The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, the mitotic cycle, and oncogenic transformation. This PTP contains a PEST motif, which often serves as a protein-protein interaction domain, and may be related to protein intracellular half-live. This protein can differentially dephosphorylate autophosphorylated tyrosine kinases that are overexpressed in tumor tissues, and it appears to regulate HER2, a member of the epidermal growth factor receptor family of receptor tyrosine kinases. Two transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,568
Likely benign
4,915
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PTPN18 gene."
11,https://3billion.io/gene/PTPN13/,PTPN13,"PTPN13
Synonyms
FAP-1, PNP1, PTP-BAS, PTP-BL, PTP1E, PTPL1, PTPLE, hPTP1E
External resources
NCBI5783
OMIM600267
EnsemblENSG00000163629
HGNCHGNC:9646
Summary
The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP is a large intracellular protein. It has a catalytic PTP domain at its C-terminus and two major structural domains: a region with five PDZ domains and a FERM domain that binds to plasma membrane and cytoskeletal elements. This PTP was found to interact with, and dephosphorylate, Fas receptor and IkappaBalpha through the PDZ domains. This suggests it has a role in Fas mediated programmed cell death. This PTP was also shown to interact with GTPase-activating protein, and thus may function as a regulator of Rho signaling pathways. Four alternatively spliced transcript variants, which encode distinct proteins, have been reported.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,027
Likely benign
5,135
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PTPN13 gene."
12,https://3billion.io/gene/PTPN12/,PTPN12,"PTPN12
Synonyms
PTP-PEST, PTPG1
External resources
NCBI5782
OMIM600079
EnsemblENSG00000127947
HGNCHGNC:9645
Summary
The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains a C-terminal PEST motif, which serves as a protein-protein interaction domain, and may regulate protein intracellular half-life. This PTP was found to bind and dephosphorylate the product of the oncogene c-ABL and thus may play a role in oncogenesis. This PTP was also shown to interact with, and dephosphorylate, various products related to cytoskeletal structure and cell adhesion, such as p130 (Cas), CAKbeta/PTK2B, PSTPIP1, and paxillin. This suggests it has a regulatory role in controlling cell shape and mobility. Alternative splicing results in multiple transcript variants encoding distinct isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
70
Likely pathogenic
0
VUS
952
Likely benign
1,278
Benign
2,832","Patient phenotypes
Proportions of phenotypes among 31 patients carrying pathogenic or likely pathogenic variants on PTPN12 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
38.7%
Abnormality of the nervous system
32.3%
Abnormality of head or neck
29%
Abnormality of the musculoskeletal system
22.6%
Growth abnormality
16.1%
Abnormality of the ear
12.9%
Abnormality of the eye
12.9%
Abnormality of the genitourinary system
9.7%
Abnormality of the immune system
9.7%
Abnormality of the integument
9.7%
Abnormality of blood and blood-forming tissues
6.5%
Abnormality of the digestive system
6.5%
Abnormality of the respiratory system
6.5%
Abnormality of limbs
3.2%
Constitutional symptom
3.2%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
13,https://3billion.io/gene/PTPN11/,PTPN11,"PTPN11
Synonyms
BPTP3, CFC, JMML, METCDS, NS1, PTP-1D, PTP2C, SH-PTP2, SH-PTP3, SHP2
External resources
NCBI5781
OMIM176876
EnsemblENSG00000179295
HGNCHGNC:9644
Summary
The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains two tandem Src homology-2 domains, which function as phospho-tyrosine binding domains and mediate the interaction of this PTP with its substrates. This PTP is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration. Mutations in this gene are a cause of Noonan syndrome as well as acute myeloid leukemia.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
51
Likely pathogenic
4
VUS
914
Likely benign
2,102
Benign
1,229","Patient phenotypes
Proportions of phenotypes among 55 patients carrying pathogenic or likely pathogenic variants on PTPN11 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the ear
38.2%
Abnormality of head or neck
36.4%
Abnormality of the eye
36.4%
Abnormality of the musculoskeletal system
32.7%
Abnormality of the nervous system
32.7%
Growth abnormality
32.7%
Abnormality of the integument
27.3%
Abnormality of the cardiovascular system
23.6%
Abnormality of limbs
16.4%
Abnormality of the genitourinary system
14.5%
Abnormality of prenatal development or birth
9.1%
Abnormality of the respiratory system
9.1%
Abnormality of the immune system
7.3%
Abnormality of the digestive system
5.5%
Abnormality of blood and blood-forming tissues
3.6%
Abnormality of the endocrine system
3.6%
Neoplasm
3.6%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
14,https://3billion.io/gene/PTPN14/,PTPN14,"PTPN14
Synonyms
CATLPH, PEZ, PTP36, PTPD2
External resources
NCBI5784
OMIM603155
EnsemblENSG00000152104
HGNCHGNC:9647
Summary
The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains an N-terminal noncatalytic domain similar to that of band 4.1 superfamily cytoskeleton-associated proteins, which suggested the membrane or cytoskeleton localization of this protein. It appears to regulate lymphatic development in mammals, and a loss of function mutation has been found in a kindred with a lymphedema-choanal atresia.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
4
Likely pathogenic
0
VUS
23,592
Likely benign
2,043
Benign
80","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on PTPN14 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of blood and blood-forming tissues
25%
Abnormality of the cardiovascular system
25%
Abnormality of the ear
25%
Abnormality of the eye
25%
Abnormality of the immune system
25%
Abnormality of the nervous system
25%
Abnormality of the respiratory system
25%
Abnormal cellular phenotype
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
15,https://3billion.io/gene/PDK1/,PDK1,"PDK1
Synonyms
-
External resources
NCBI5163
OMIM602524
EnsemblENSG00000152256
HGNCHGNC:8809
Summary
Pyruvate dehydrogenase (PDH) is a mitochondrial multienzyme complex that catalyzes the oxidative decarboxylation of pyruvate and is one of the major enzymes responsible for the regulation of homeostasis of carbohydrate fuels in mammals. The enzymatic activity is regulated by a phosphorylation/dephosphorylation cycle. Phosphorylation of PDH by a specific pyruvate dehydrogenase kinase (PDK) results in inactivation. Multiple alternatively spliced transcript variants have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,702
Likely benign
7,803
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PDK1 gene."
16,https://3billion.io/gene/PDK3/,PDK3,"PDK3
Synonyms
CMTX6, GS1-358P8.4
External resources
NCBI5165
OMIM300906
EnsemblENSG00000067992
HGNCHGNC:8811
Summary
The pyruvate dehydrogenase (PDH) complex is a nuclear-encoded mitochondrial multienzyme complex that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2). It provides the primary link between glycolysis and the tricarboxylic acid (TCA) cycle, and thus is one of the major enzymes responsible for the regulation of glucose metabolism. The enzymatic activity of PDH is regulated by a phosphorylation/dephosphorylation cycle, and phosphorylation results in inactivation of PDH. The protein encoded by this gene is one of the three pyruvate dehydrogenase kinases that inhibits the PDH complex by phosphorylation of the E1 alpha subunit. This gene is predominantly expressed in the heart and skeletal muscles. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,984
Likely benign
107
Benign
2,833","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PDK3 gene."
17,https://3billion.io/gene/PDK2/,PDK2,"PDK2
Synonyms
PDHK2, PDKII
External resources
NCBI5164
OMIM602525
EnsemblENSG00000005882
HGNCHGNC:8810
Summary
This gene encodes a member of the pyruvate dehydrogenase kinase family. The encoded protein phosphorylates pyruvate dehydrogenase, down-regulating the activity of the mitochondrial pyruvate dehydrogenase complex. Overexpression of this gene may play a role in both cancer and diabetes. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,017
Likely benign
130
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PDK2 gene."
18,https://3billion.io/gene/PDK4/,PDK4,"PDK4
Synonyms
-
External resources
NCBI5166
OMIM602527
EnsemblENSG00000004799
HGNCHGNC:8812
Summary
This gene is a member of the PDK/BCKDK protein kinase family and encodes a mitochondrial protein with a histidine kinase domain. This protein is located in the matrix of the mitrochondria and inhibits the pyruvate dehydrogenase complex by phosphorylating one of its subunits, thereby contributing to the regulation of glucose metabolism. Expression of this gene is regulated by glucocorticoids, retinoic acid and insulin.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,377
Likely benign
3,287
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PDK4 gene."
19,https://3billion.io/gene/PECR/,PECR,"PECR
Synonyms
DCRRP, HPDHASE, HSA250303, PVIARL, SDR29C1, TERP
External resources
NCBI55825
OMIM605843
EnsemblENSG00000115425
HGNCHGNC:18281
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
861
Likely benign
407
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PECR gene."
20,https://3billion.io/gene/PTPMT1/,PTPMT1,"PTPMT1
Synonyms
DUSP23, MOSP, PLIP, PNAS-129
External resources
NCBI114971
OMIM609538
EnsemblENSG00000110536
HGNCHGNC:26965
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,401
Likely benign
157
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PTPMT1 gene."
21,https://3billion.io/gene/PSMB9/,PSMB9,"PSMB9
Synonyms
LMP2, PRAAS3, PSMB6i, RING12, beta1i
External resources
NCBI5698
OMIM177045
EnsemblENSG00000240065
HGNCHGNC:9546
Summary
The proteasome is a multicatalytic proteinase complex with a highly ordered ring-shaped 20S core structure. The core structure is composed of 4 rings of 28 non-identical subunits; 2 rings are composed of 7 alpha subunits and 2 rings are composed of 7 beta subunits. Proteasomes are distributed throughout eukaryotic cells at a high concentration and cleave peptides in an ATP/ubiquitin-dependent process in a non-lysosomal pathway. An essential function of a modified proteasome, the immunoproteasome, is the processing of class I MHC peptides. This gene encodes a member of the proteasome B-type family, also known as the T1B family, that is a 20S core beta subunit. This gene is located in the class II region of the MHC (major histocompatibility complex). Expression of this gene is induced by gamma interferon and this gene product replaces catalytic subunit 1 (proteasome beta 6 subunit) in the immunoproteasome. Proteolytic processing is required to generate a mature subunit.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,111
Likely benign
7,695
Benign
297","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on PSMB9 gene."
