,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/JARID2/,JARID2,"JARID2
Synonyms
JMJ
External resources
NCBI3720
OMIM601594
EnsemblENSG00000008083
HGNCHGNC:6196
Summary
This gene encodes a Jumonji- and AT-rich interaction domain (ARID)-domain-containing protein. The encoded protein is a DNA-binding protein that functions as a transcriptional repressor. This protein interacts with the Polycomb repressive complex 2 (PRC2) which plays an essential role in regulating gene expression during embryonic development. This protein facilitates the recruitment of the PRC2 complex to target genes. Alternate splicing results in multiple transcript variants. Mutations in this gene are associated with chronic myeloid malignancies.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
2,764
Likely benign
3,106
Benign
2,896","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on JARID2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of prenatal development or birth
50%
Abnormality of the cardiovascular system
50%
Abnormality of the eye
50%
Abnormality of the integument
50%
Abnormality of the nervous system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/JAK2/,JAK2,"JAK2
Synonyms
JTK10
External resources
NCBI3717
OMIM147796
EnsemblENSG00000096968
HGNCHGNC:6192
Summary
This gene encodes a non-receptor tyrosine kinase that plays a central role in cytokine and growth factor signalling. The primary isoform of this protein has an N-terminal FERM domain that is required for erythropoietin receptor association, an SH2 domain that binds STAT transcription factors, a pseudokinase domain and a C-terminal tyrosine kinase domain. Cytokine binding induces autophosphorylation and activation of this kinase. This kinase then recruits and phosphorylates signal transducer and activator of transcription (STAT) proteins. Growth factors like TGF-beta 1 also induce phosphorylation and activation of this kinase and translocation of downstream STAT proteins to the nucleus where they influence gene transcription. Mutations in this gene are associated with numerous inflammatory diseases and malignancies. This gene is a downstream target of the pleiotropic cytokine IL6 that is produced by B cells, T cells, dendritic cells and macrophages to produce an immune response or inflammation. Disregulation of the IL6/JAK2/STAT3 signalling pathways produces increased cellular proliferation and myeloproliferative neoplasms of hematopoietic stem cells. A nonsynonymous mutation in the pseudokinase domain of this gene disrupts the domains inhibitory effect and results in constitutive tyrosine phosphorylation activity and hypersensitivity to cytokine signalling. This gene and the IL6/JAK2/STAT3 signalling pathway is a therapeutic target for the treatment of excessive inflammatory responses to viral infections. Alternative splicing results in multiple transcript variants encoding distinct isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
10
Likely pathogenic
12
VUS
4,649
Likely benign
1,019
Benign
0","Patient phenotypes
Proportions of phenotypes among 22 patients carrying pathogenic or likely pathogenic variants on JAK2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
27.3%
Abnormality of the musculoskeletal system
22.7%
Abnormality of the nervous system
22.7%
Abnormality of the eye
18.2%
Abnormality of the immune system
13.6%
Abnormality of the genitourinary system
9.1%
Abnormality of head or neck
4.5%
Abnormality of limbs
4.5%
Abnormality of the digestive system
4.5%
Abnormality of the ear
4.5%
Constitutional symptom
4.5%
Neoplasm
4.5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Growth abnormality
0%"
2,https://3billion.io/gene/JAK3/,JAK3,"JAK3
Synonyms
JAK-3, JAK3_HUMAN, JAKL, L-JAK, LJAK
External resources
NCBI3718
OMIM600173
EnsemblENSG00000105639
HGNCHGNC:6193
Summary
The protein encoded by this gene is a member of the Janus kinase (JAK) family of tyrosine kinases involved in cytokine receptor-mediated intracellular signal transduction. It is predominantly expressed in immune cells and transduces a signal in response to its activation via tyrosine phosphorylation by interleukin receptors. Mutations in this gene are associated with autosomal SCID (severe combined immunodeficiency disease).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
27
Likely pathogenic
0
VUS
15,842
Likely benign
2,895
Benign
570","Patient phenotypes
Proportions of phenotypes among 26 patients carrying pathogenic or likely pathogenic variants on JAK3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
30.8%
Abnormality of the cardiovascular system
26.9%
Abnormality of head or neck
15.4%
Abnormality of the eye
15.4%
Abnormality of the musculoskeletal system
15.4%
Abnormality of limbs
11.5%
Abnormality of the digestive system
7.7%
Abnormality of the ear
7.7%
Abnormality of the integument
7.7%
Growth abnormality
7.7%
Abnormality of the breast
3.8%
Abnormality of the genitourinary system
3.8%
Abnormality of the immune system
3.8%
Abnormality of the respiratory system
3.8%
Neoplasm
3.8%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the endocrine system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
3,https://3billion.io/gene/JAK1/,JAK1,"JAK1
Synonyms
AIIDE, JAK1A, JAK1B, JTK3
External resources
NCBI3716
OMIM147795
EnsemblENSG00000162434
HGNCHGNC:6190
Summary
This gene encodes a membrane protein that is a member of a class of protein-tyrosine kinases (PTK) characterized by the presence of a second phosphotransferase-related domain immediately N-terminal to the PTK domain. The encoded kinase phosphorylates STAT proteins (signal transducers and activators of transcription) and plays a key role in interferon-alpha/beta, interferon-gamma, and cytokine signal transduction. This gene plays a crucial role in effecting the expression of genes that mediate inflammation, epithelial remodeling, and metastatic cancer progression. This gene is a key component of the interleukin-6 (IL-6)/JAK1/STAT3 immune and inflammation response and is a therapeutic target for alleviating cytokine storms. The kinase activity of this gene is directly inhibited by the suppressor of cytokine signalling 1 (SOCS1) protein. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
1
VUS
6,388
Likely benign
746
Benign
587","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on JAK1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of prenatal development or birth
50%
Abnormality of the integument
50%
Abnormality of the nervous system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
4,https://3billion.io/gene/JAKMIP3/,JAKMIP3,"JAKMIP3
Synonyms
C10orf14, C10orf39, Jamip3, NECC2, bA140A10.5
External resources
NCBI282973
OMIM611198
EnsemblENSG00000188385
HGNCHGNC:23523
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
21,098
Likely benign
9,493
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on JAKMIP3 gene."
5,https://3billion.io/gene/JAKMIP2/,JAKMIP2,"JAKMIP2
Synonyms
JAMIP2, NECC1
External resources
NCBI9832
OMIM611197
EnsemblENSG00000176049
HGNCHGNC:29067
Summary
The protein encoded by this gene is reported to be a component of the Golgi matrix. It may act as a golgin protein by negatively regulating transit of secretory cargo and by acting as a structural scaffold of the Golgi. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
1
VUS
10,947
Likely benign
3,723
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on JAKMIP2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
75%
Abnormality of blood and blood-forming tissues
25%
Abnormality of head or neck
25%
Abnormality of the cardiovascular system
25%
Abnormality of the genitourinary system
25%
Growth abnormality
25%
Abnormal cellular phenotype
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
6,https://3billion.io/gene/JAKMIP1/,JAKMIP1,"JAKMIP1
Synonyms
Gababrbp, JAMIP1, MARLIN1
External resources
NCBI152789
OMIM611195
EnsemblENSG00000152969
HGNCHGNC:26460
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
157
Likely pathogenic
0
VUS
34,153
Likely benign
1,413
Benign
0","Patient phenotypes
Proportions of phenotypes among 153 patients carrying pathogenic or likely pathogenic variants on JAKMIP1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
38.6%
Abnormality of the musculoskeletal system
26.1%
Abnormality of the cardiovascular system
23.5%
Abnormality of the eye
20.9%
Abnormality of head or neck
17.6%
Abnormality of the genitourinary system
14.4%
Abnormality of the integument
14.4%
Abnormality of the ear
13.1%
Growth abnormality
11.1%
Abnormality of the digestive system
9.8%
Abnormality of limbs
8.5%
Abnormality of the immune system
8.5%
Abnormality of blood and blood-forming tissues
6.5%
Abnormality of the respiratory system
3.9%
Abnormality of prenatal development or birth
3.3%
Abnormality of the endocrine system
3.3%
Constitutional symptom
2.6%
Neoplasm
2.6%
Abnormal cellular phenotype
1.3%
Abnormality of the breast
0.7%
Abnormality of the voice
0.7%
Abnormality of metabolism homeostasis
0%
Abnormality of the thoracic cavity
0%"
7,https://3billion.io/gene/JSRP1/,JSRP1,"JSRP1
Synonyms
JP-45, JP45
External resources
NCBI126306
OMIM608743
EnsemblENSG00000167476
HGNCHGNC:24963
Summary
The protein encoded by this gene is involved in excitation-contraction coupling at the sarcoplasmic reticulum. The encoded protein can interact with CACNA1S, CACNB1, and calsequestrin to help regulate calcium influx and efflux in skeletal muscle.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
9,831
Likely benign
573
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on JSRP1 gene."
8,https://3billion.io/gene/JMJD6/,JMJD6,"JMJD6
Synonyms
PSR, PTDSR, PTDSR1
External resources
NCBI23210
OMIM604914
EnsemblENSG00000070495
HGNCHGNC:19355
Summary
This gene encodes a nuclear protein with a JmjC domain. JmjC domain-containing proteins are predicted to function as protein hydroxylases or histone demethylases. This protein was first identified as a putative phosphatidylserine receptor involved in phagocytosis of apoptotic cells; however, subsequent studies have indicated that it does not directly function in the clearance of apoptotic cells, and questioned whether it is a true phosphatidylserine receptor. Multiple transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,575
Likely benign
1,980
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on JMJD6 gene."
9,https://3billion.io/gene/JMJD7/,JMJD7,"JMJD7
Synonyms
-
External resources
NCBI100137047
EnsemblENSG00000243789
HGNCHGNC:34397
Summary
This gene encodes a highly conserved protein with a JmjC domain, which are part of the cupin metalloenzyme superfamily. JmjC proteins may function as 2-oxoglutarate-Fe(II)-dependent dioxygenases. Most tissues also express read-through transcripts from this gene into the downstream phospholipase A2, group IVB (cytosolic) gene, some of which may encode fusion proteins combining the N-terminus of this protein with the phospholipase A2, group IVB protein.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,039
Likely benign
1,999
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on JMJD7 gene."
