,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/VMP1/,VMP1,"VMP1
Synonyms
EPG3, TANGO5, TMEM49
External resources
NCBI81671
OMIM611753
EnsemblENSG00000062716
HGNCHGNC:29559
Summary
This gene encodes a transmembrane protein that plays a key regulatory role in the process of autophagy. The ectopic overexpression of the encoded protein in cultured cells triggers autophagy even under nutrient-rich conditions. This gene is overexpressed in pancreatitis affected acinar cells where the encoded protein mediates sequestration and degradation of potentially deleterious activated zymogen granules in a process termed, zymophagy.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
1,342
Likely benign
218
Benign
0","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on VMP1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
66.7%
Growth abnormality
33.3%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
1,https://3billion.io/gene/VMO1/,VMO1,"VMO1
Synonyms
ERGA6350, PRO21055
External resources
NCBI284013
EnsemblENSG00000182853
HGNCHGNC:30387
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
21,498
Likely benign
157
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on VMO1 gene."
2,https://3billion.io/gene/VPS13D/,VPS13D,"VPS13D
Synonyms
SCAR4
External resources
NCBI55187
OMIM608877
EnsemblENSG00000048707
HGNCHGNC:23595
Summary
This gene encodes a protein belonging to the vacuolar-protein-sorting-13 gene family. In yeast, vacuolar-protein-sorting-13 proteins are involved in trafficking of membrane proteins between the trans-Golgi network and the prevacuolar compartment. While several transcript variants may exist for this gene, the full-length natures of only two have been described to date. These two represent the major variants of this gene and encode distinct isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
21
Likely pathogenic
0
VUS
17,963
Likely benign
12,905
Benign
517","Patient phenotypes
Proportions of phenotypes among 20 patients carrying pathogenic or likely pathogenic variants on VPS13D gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
50%
Abnormality of head or neck
40%
Abnormality of the musculoskeletal system
30%
Abnormality of the cardiovascular system
25%
Abnormality of the digestive system
20%
Abnormality of the genitourinary system
20%
Growth abnormality
20%
Abnormality of limbs
15%
Abnormality of prenatal development or birth
15%
Abnormality of the endocrine system
15%
Abnormality of the eye
10%
Abnormality of the immune system
10%
Abnormality of the respiratory system
10%
Abnormality of blood and blood-forming tissues
5%
Abnormality of the ear
5%
Abnormality of the integument
5%
Constitutional symptom
5%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
3,https://3billion.io/gene/VPS13A/,VPS13A,"VPS13A
Synonyms
CHAC, CHOREIN
External resources
NCBI23230
OMIM605978
EnsemblENSG00000197969
HGNCHGNC:1908
Summary
The protein encoded by this gene may control steps in the cycling of proteins through the trans-Golgi network to endosomes, lysosomes and the plasma membrane. Mutations in this gene cause the autosomal recessive disorder, chorea-acanthocytosis. Alternative splicing of this gene results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
37
Likely pathogenic
0
VUS
18,879
Likely benign
22,065
Benign
548","Patient phenotypes
Proportions of phenotypes among 35 patients carrying pathogenic or likely pathogenic variants on VPS13A gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
45.7%
Abnormality of the musculoskeletal system
28.6%
Abnormality of head or neck
17.1%
Abnormality of the eye
17.1%
Growth abnormality
17.1%
Abnormality of the cardiovascular system
14.3%
Abnormality of the ear
8.6%
Abnormality of the digestive system
5.7%
Abnormality of blood and blood-forming tissues
2.9%
Abnormality of limbs
2.9%
Abnormality of the genitourinary system
2.9%
Abnormality of the immune system
2.9%
Neoplasm
2.9%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
4,https://3billion.io/gene/VPS13C/,VPS13C,"VPS13C
Synonyms
PARK23
External resources
NCBI54832
OMIM608879
EnsemblENSG00000129003
HGNCHGNC:23594
Summary
This gene encodes a member of the vacuolar protein sorting-associated 13 gene family. Alternate splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
60
Likely pathogenic
0
VUS
24,436
Likely benign
6,201
Benign
866","Patient phenotypes
Proportions of phenotypes among 58 patients carrying pathogenic or likely pathogenic variants on VPS13C gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
37.9%
Abnormality of the eye
31%
Abnormality of the musculoskeletal system
29.3%
Abnormality of head or neck
27.6%
Abnormality of the cardiovascular system
27.6%
Abnormality of the integument
19%
Abnormality of the ear
12.1%
Growth abnormality
12.1%
Abnormality of the genitourinary system
10.3%
Abnormality of limbs
8.6%
Abnormality of blood and blood-forming tissues
6.9%
Abnormality of the digestive system
6.9%
Abnormality of the immune system
6.9%
Abnormality of the endocrine system
5.2%
Abnormality of the respiratory system
5.2%
Constitutional symptom
3.4%
Abnormal cellular phenotype
1.7%
Abnormality of prenatal development or birth
1.7%
Neoplasm
1.7%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
5,https://3billion.io/gene/VPS13B/,VPS13B,"VPS13B
Synonyms
CHS1, COH1
External resources
NCBI157680
OMIM607817
EnsemblENSG00000132549
HGNCHGNC:2183
Summary
This gene encodes a potential transmembrane protein that may function in vesicle-mediated transport and sorting of proteins within the cell. This protein may play a role in the development and the function of the eye, hematological system, and central nervous system. Mutations in this gene have been associated with Cohen syndrome. Multiple splice variants encoding distinct isoforms have been identified for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3,061
Likely pathogenic
2,055
VUS
24,999
Likely benign
19,906
Benign
1,727","Patient phenotypes
Proportions of phenotypes among 3755 patients carrying pathogenic or likely pathogenic variants on VPS13B gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
39%
Abnormality of the musculoskeletal system
27.4%
Abnormality of the cardiovascular system
25.7%
Abnormality of head or neck
22%
Abnormality of the eye
21.5%
Abnormality of the integument
12.9%
Growth abnormality
12.7%
Abnormality of the genitourinary system
12.6%
Abnormality of the ear
12.1%
Abnormality of limbs
12%
Abnormality of the digestive system
8.8%
Abnormality of the immune system
7.4%
Abnormality of blood and blood-forming tissues
5%
Abnormality of the endocrine system
4.8%
Abnormality of the respiratory system
4.2%
Neoplasm
2.8%
Abnormality of prenatal development or birth
2.8%
Constitutional symptom
1.5%
Abnormal cellular phenotype
0.9%
Abnormality of the breast
0.7%
Abnormality of the voice
0.5%
Abnormality of metabolism homeostasis
0%
Abnormality of the thoracic cavity
0%"
6,https://3billion.io/gene/VGF/,VGF,"VGF
Synonyms
SCG7, SgVII
External resources
NCBI7425
OMIM602186
EnsemblENSG00000128564
HGNCHGNC:12684
Summary
This gene is specifically expressed in a subpopulation of neuroendocrine cells, and is upregulated by nerve growth factor. The structural organization of this gene is similar to that of the rat gene, and both the translated and the untranslated regions show a high degree of sequence similarity to the rat gene. The encoded secretory protein also shares similarities with the secretogranin/chromogranin family, however, its exact function is not known.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,727
Likely benign
148
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on VGF gene."
7,https://3billion.io/gene/VPS25/,VPS25,"VPS25
Synonyms
DERP9, EAP20, FAP20
External resources
NCBI84313
OMIM610907
EnsemblENSG00000131475
HGNCHGNC:28122
Summary
This gene encodes a protein that is a subunit of the endosomal sorting complex required for transport II (ESCRT-II). This protein complex functions in sorting of ubiquitinated membrane proteins during endocytosis. A pseudogene of this gene is present on chromosome 1.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,961
Likely benign
220
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on VPS25 gene."
8,https://3billion.io/gene/VPS28/,VPS28,"VPS28
Synonyms
-
External resources
NCBI51160
OMIM611952
EnsemblENSG00000160948
HGNCHGNC:18178
Summary
This gene encodes a protein subunit of the ESCRT-I complex (endosomal complexes required for transport), which functions in the transport and sorting of proteins into subcellular vesicles. This complex can also be hijacked to facilitate the budding of enveloped viruses from the cell membrane. Alternative splicing results in multiple transcript variants encoding different isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,911
Likely benign
618
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on VPS28 gene."
9,https://3billion.io/gene/VSNL1/,VSNL1,"VSNL1
Synonyms
HLP3, HPCAL3, HUVISL1, VILIP, VILIP-1
External resources
NCBI7447
OMIM600817
EnsemblENSG00000163032
HGNCHGNC:12722
Summary
This gene is a member of the visinin/recoverin subfamily of neuronal calcium sensor proteins. The encoded protein is strongly expressed in granule cells of the cerebellum where it associates with membranes in a calcium-dependent manner and modulates intracellular signaling pathways of the central nervous system by directly or indirectly regulating the activity of adenylyl cyclase. Alternatively spliced transcript variants have been observed, but their full-length nature has not been determined.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,521
Likely benign
108
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on VSNL1 gene."
