,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/UFSP1/,UFSP1,"UFSP1
Synonyms
UFSP
External resources
NCBI402682
OMIM611481
EnsemblENSG00000176125
HGNCHGNC:33821
Summary
This gene encodes a protein that is similar to other Ufm1-specific proteases. Studies in mouse determined that Ufsp1 releases Ufm1 (ubiquitin-fold modifier 1) from its bound conjugated complexes which also makes it into an active form. Because the human UFSP1 protein is shorter on the N-terminus and lacks a conserved Cys active site, it is predicted to be non-functional.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,731
Likely benign
47
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UFSP1 gene."
1,https://3billion.io/gene/UFSP2/,UFSP2,"UFSP2
Synonyms
BHD, C4orf20, SEMDDR
External resources
NCBI55325
OMIM611482
EnsemblENSG00000109775
HGNCHGNC:25640
Summary
This gene encodes a highly conserved cysteine protease. The protein cleaves two C-terminal residues from ubiquitin-fold modifier 1, a ubiquitin-like post-translational modifier protein. Activation of ubiquitin-fold modifier 1 by the encoded protein exposes a C-terminal glycine residue that allows interaction with other proteins and transfer to its target protein. An allelic variant of this gene has been associated with Beukes hip dysplasia. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
14
Likely pathogenic
1
VUS
2,910
Likely benign
1,388
Benign
1,931","Patient phenotypes
Proportions of phenotypes among 15 patients carrying pathogenic or likely pathogenic variants on UFSP2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
53.3%
Abnormality of head or neck
33.3%
Abnormality of the eye
26.7%
Abnormality of the musculoskeletal system
20%
Abnormality of the ear
13.3%
Abnormality of the integument
13.3%
Growth abnormality
13.3%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
2,https://3billion.io/gene/USP17L30/,USP17L30,"USP17L30
Synonyms
-
External resources
NCBI728419
EnsemblENSG00000228856
HGNCHGNC:44458
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,095
Likely benign
0
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on USP17L30 gene."
3,https://3billion.io/gene/UPK2/,UPK2,"UPK2
Synonyms
UP2, UPII
External resources
NCBI7379
OMIM611558
EnsemblENSG00000110375
HGNCHGNC:12579
Summary
This gene encodes one of the proteins of the highly conserved urothelium-specific integral membrane proteins of the asymmetric unit membrane which forms urothelium apical plaques in mammals. The asymmetric unit membrane is believed to strengthen the urothelium by preventing cell rupture during bladder distention. The encoded protein is expressed in the peripheral blood of bladder cancer patients with transitional cell carcinomas.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
905
Likely benign
629
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UPK2 gene."
4,https://3billion.io/gene/UPK1A/,UPK1A,"UPK1A
Synonyms
TSPAN21, UP1A, UPIA, UPKA
External resources
NCBI11045
OMIM611557
EnsemblENSG00000105668
HGNCHGNC:12577
Summary
The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is found in the asymmetrical unit membrane (AUM) where it can complex with other transmembrane 4 superfamily proteins. It may play a role in normal bladder epithelial physiology, possibly in regulating membrane permeability of superficial umbrella cells or in stabilizing the apical membrane through AUM/cytoskeletal interactions. The protein may also play a role in tumor suppression. Alternative splicing results in multiple transcript variants of this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,506
Likely benign
527
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UPK1A gene."
5,https://3billion.io/gene/UPK1B/,UPK1B,"UPK1B
Synonyms
TSPAN20, UPIB, UPK1
External resources
NCBI7348
OMIM602380
EnsemblENSG00000114638
HGNCHGNC:12578
Summary
The protein encoded by this gene is a member of the transmembrane 4 superfamily, also known as the tetraspanin family. Most of these members are cell-surface proteins that are characterized by the presence of four hydrophobic domains. The proteins mediate signal transduction events that play a role in the regulation of cell development, activation, growth and motility. This encoded protein is found in the asymmetrical unit membrane (AUM) where it can form a complex with other transmembrane 4 superfamily proteins. It may play a role in normal bladder epithelial physiology, possibly in regulating membrane permeability of superficial umbrella cells or in stabilizing the apical membrane through AUM/cytoskeletal interactions. The use of alternate polyadenylation sites has been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,661
Likely benign
485
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UPK1B gene."
6,https://3billion.io/gene/UGT2A1/,UGT2A1,"UGT2A1
Synonyms
UDPGT2A1
External resources
NCBI10941
OMIM604716
EnsemblENSG00000173610
HGNCHGNC:12542
Summary
The protein encoded by this gene belongs to the UDP-glycosyltransferase family, members of which catalyze biotransformation reactions in which lipophilic substrates are conjugated with glucuronic acid to increase water solubility and enhance excretion. They are of major importance in the conjugation and subsequent elimination of potentially toxic xenobiotics and endogenous compounds. This enzyme is expressed in the olfactory neuroepithelium, which lines the posterior nasal cavity and is exposed to a wide range of odorants and airborne toxic compounds. Hence, this protein has been suggested to be involved in clearing lipophilic odorant molecules from the sensory epithelium. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. This gene shares exon structure with the UDP glucuronosyltransferase 2A2 family member, which encodes N-terminally distinct isoforms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,240
Likely benign
1,270
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UGT2A1 gene."
7,https://3billion.io/gene/UBE2J1/,UBE2J1,"UBE2J1
Synonyms
CGI-76, HSPC153, HSPC205, HSU93243, NCUBE-1, NCUBE1, UBC6, UBC6E, Ubc6p
External resources
NCBI51465
OMIM616175
EnsemblENSG00000198833
HGNCHGNC:17598
Summary
The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is located in the membrane of the endoplasmic reticulum (ER) and may contribute to quality control ER-associated degradation by the ubiquitin-proteasome system.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,703
Likely benign
492
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UBE2J1 gene."
8,https://3billion.io/gene/UBE2J2/,UBE2J2,"UBE2J2
Synonyms
NCUBE-2, NCUBE2, PRO2121
External resources
NCBI118424
EnsemblENSG00000160087
HGNCHGNC:19268
Summary
The modification of proteins with ubiquitin is an important cellular mechanism for targeting abnormal or short-lived proteins for degradation. Ubiquitination involves at least three classes of enzymes: ubiquitin-activating enzymes, or E1s, ubiquitin-conjugating enzymes, or E2s, and ubiquitin-protein ligases, or E3s. This gene encodes a member of the E2 ubiquitin-conjugating enzyme family. This enzyme is located in the membrane of the endoplasmic reticulum. Multiple alternatively spliced transcript variants have been found for this gene, but the full-length nature of some variants has not been defined.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
0
VUS
13,253
Likely benign
7,790
Benign
0","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on UBE2J2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
100%
Abnormality of the nervous system
100%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
9,https://3billion.io/gene/UNC50/,UNC50,"UNC50
Synonyms
GMH1, HSD23, PDLs22, UNCL, URP
External resources
NCBI25972
OMIM617826
EnsemblENSG00000115446
HGNCHGNC:16046
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,360
Likely benign
2,075
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on UNC50 gene."
