,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/GSDMA/,GSDMA,"GSDMA
Synonyms
FKSG9, GSDM, GSDM1
External resources
NCBI284110
OMIM611218
EnsemblENSG00000167914
HGNCHGNC:13311
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
8,808
Likely benign
3,112
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GSDMA gene."
1,https://3billion.io/gene/GSDMB/,GSDMB,"GSDMB
Synonyms
GSDMB-1, GSDML, PP4052, PRO2521
External resources
NCBI55876
OMIM611221
EnsemblENSG00000073605
HGNCHGNC:23690
Summary
This gene encodes a member of the gasdermin-domain containing protein family. Other gasdermin-family genes are implicated in the regulation of apoptosis in epithelial cells, and are linked to cancer. Alternative splicing and the use of alternative promoters results in multiple transcript variants. Additional variants have been described, but they are candidates for nonsense-mediated mRNA decay (NMD) and are unlikely to be protein-coding.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,317
Likely benign
1,296
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GSDMB gene."
2,https://3billion.io/gene/GSDMC/,GSDMC,"GSDMC
Synonyms
MLZE
External resources
NCBI56169
OMIM608384
EnsemblENSG00000147697
HGNCHGNC:7151
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,610
Likely benign
2,713
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GSDMC gene."
3,https://3billion.io/gene/GSDMD/,GSDMD,"GSDMD
Synonyms
DF5L, DFNA5L, FKSG10, GSDMDC1
External resources
NCBI79792
OMIM617042
EnsemblENSG00000104518
HGNCHGNC:25697
Summary
Gasdermin D is a member of the gasdermin family. Members of this family appear to play a role in regulation of epithelial proliferation. Gasdermin D has been suggested to act as a tumor suppressor. Alternatively spliced transcript variants have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,804
Likely benign
7,848
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GSDMD gene."
4,https://3billion.io/gene/GALNTL5/,GALNTL5,"GALNTL5
Synonyms
GALNACT19, GALNT15, GalNAc-T5L
External resources
NCBI168391
OMIM615133
EnsemblENSG00000106648
HGNCHGNC:21725
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
18
Likely pathogenic
50
VUS
8,507
Likely benign
2,365
Benign
0","Patient phenotypes
Proportions of phenotypes among 68 patients carrying pathogenic or likely pathogenic variants on GALNTL5 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
32.4%
Abnormality of the cardiovascular system
25%
Abnormality of the musculoskeletal system
25%
Abnormality of head or neck
19.1%
Growth abnormality
19.1%
Abnormality of the eye
17.6%
Abnormality of the ear
14.7%
Abnormality of the genitourinary system
13.2%
Abnormality of limbs
11.8%
Abnormality of the integument
11.8%
Abnormality of the digestive system
8.8%
Abnormality of the immune system
7.4%
Abnormality of the respiratory system
5.9%
Abnormality of blood and blood-forming tissues
4.4%
Abnormality of the endocrine system
2.9%
Abnormal cellular phenotype
1.5%
Abnormality of prenatal development or birth
1.5%
Neoplasm
1.5%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
5,https://3billion.io/gene/GALNTL6/,GALNTL6,"GALNTL6
Synonyms
GALNACT20, GALNT17, GalNAc-T6L
External resources
NCBI442117
OMIM615138
EnsemblENSG00000174473
HGNCHGNC:33844
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,178
Likely benign
1,309
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GALNTL6 gene."
6,https://3billion.io/gene/GCNT4/,GCNT4,"GCNT4
Synonyms
C2GNT3, LINC01336
External resources
NCBI51301
OMIM616782
EnsemblENSG00000176928
HGNCHGNC:17973
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
196
Likely benign
219
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GCNT4 gene."
7,https://3billion.io/gene/GCNT7/,GCNT7,"GCNT7
Synonyms
C20orf105, dJ1153D9.2, gcnt
External resources
NCBI140687
EnsemblENSG00000124091
HGNCHGNC:16099
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,773
Likely benign
792
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GCNT7 gene."
8,https://3billion.io/gene/GCNT1/,GCNT1,"GCNT1
Synonyms
C2GNT, C2GNT-L, C2GNT1, G6NT, NACGT2, NAGCT2
External resources
NCBI2650
OMIM600391
EnsemblENSG00000187210
HGNCHGNC:4203
Summary
This gene is a member of the beta-1,6-N-acetylglucosaminyltransferase gene family. It is essential to the formation of Gal beta 1-3(GlcNAc beta 1-6)GalNAc structures and the core 2 O-glycan branch. The gene coding this enzyme was originally mapped to 9q21, but was later localized to 9q13. Multiple alternatively spliced variants, encoding the same protein, have been identified.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,084
Likely benign
512
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GCNT1 gene."
9,https://3billion.io/gene/GCNT3/,GCNT3,"GCNT3
Synonyms
C2/4GnT, C24GNT, C2GNT2, C2GNTM, GNTM
External resources
NCBI9245
OMIM606836
EnsemblENSG00000140297
HGNCHGNC:4205
Summary
This gene encodes a member of the N-acetylglucosaminyltransferase family. The encoded protein is a beta-6-N-acetylglucosamine-transferase that catalyzes the formation of core 2 and core 4 O-glycans on mucin-type glycoproteins.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,171
Likely benign
765
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GCNT3 gene."
10,https://3billion.io/gene/GCNT2/,GCNT2,"GCNT2
Synonyms
CCAT, CTRCT13, GCNT2C, GCNT5, IGNT, II, NACGT1, NAGCT1, ULG3, bA360O19.2, bA421M1.1
External resources
NCBI2651
OMIM600429
EnsemblENSG00000111846
HGNCHGNC:4204
Summary
This gene encodes the enzyme responsible for formation of the blood group I antigen. The i and I antigens are distinguished by linear and branched poly-N-acetyllactosaminoglycans, respectively. The encoded protein is the I-branching enzyme, a beta-1,6-N-acetylglucosaminyltransferase responsible for the conversion of fetal i antigen to adult I antigen in erythrocytes during embryonic development. Mutations in this gene have been associated with adult i blood group phenotype. Alternatively spliced transcript variants encoding different isoforms have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
284
Likely pathogenic
0
VUS
1,625
Likely benign
876
Benign
6","Patient phenotypes
Proportions of phenotypes among 282 patients carrying pathogenic or likely pathogenic variants on GCNT2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
52.8%
Abnormality of the musculoskeletal system
45.4%
Abnormality of head or neck
34.4%
Abnormality of limbs
22.3%
Abnormality of the integument
21.6%
Abnormality of the cardiovascular system
20.2%
Abnormality of the eye
19.1%
Abnormality of the digestive system
17.4%
Abnormality of the ear
17.4%
Growth abnormality
17.4%
Abnormality of the respiratory system
11.3%
Abnormality of the genitourinary system
9.9%
Abnormality of the immune system
9.6%
Abnormality of blood and blood-forming tissues
7.8%
Abnormality of prenatal development or birth
6.7%
Abnormality of the endocrine system
3.2%
Abnormality of the breast
2.8%
Neoplasm
2.1%
Abnormality of the voice
1.4%
Abnormal cellular phenotype
1.1%
Constitutional symptom
0.4%
Abnormality of metabolism homeostasis
0%
Abnormality of the thoracic cavity
0%"
11,https://3billion.io/gene/GOLGA8T/,GOLGA8T,"GOLGA8T
Synonyms
-
External resources
NCBI653075
EnsemblENSG00000261247
HGNCHGNC:44410
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
9,858
Likely benign
7,031
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on GOLGA8T gene."
