,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/DLGAP2/,DLGAP2,"DLGAP2
Synonyms
C8orf68, DAP2, ERICH1-AS1, SAPAP2
External resources
NCBI9228
OMIM605438
EnsemblENSG00000198010
HGNCHGNC:2906
Summary
The product of this gene is a membrane-associated protein that may play a role in synapse organization and signalling in neuronal cells. This gene is biallelically expressed in the brain, however, only the paternal allele is expressed in the testis (PMID:18055845). Alternatively spliced transcript variants encoding different isoforms have been identified.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
3
VUS
11,416
Likely benign
1,579
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on DLGAP2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
75%
Abnormality of head or neck
50%
Abnormality of the cardiovascular system
50%
Abnormality of the digestive system
50%
Abnormality of the musculoskeletal system
50%
Abnormality of the nervous system
50%
Abnormality of limbs
25%
Abnormality of prenatal development or birth
25%
Abnormality of the ear
25%
Abnormality of the immune system
25%
Abnormality of the integument
25%
Abnormality of the voice
25%
Growth abnormality
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Constitutional symptom
0%
Neoplasm
0%"
1,https://3billion.io/gene/DLGAP3/,DLGAP3,"DLGAP3
Synonyms
DAP3, SAPAP3, SPAPA3
External resources
NCBI58512
OMIM611413
EnsemblENSG00000116544
HGNCHGNC:30368
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
72
Likely pathogenic
0
VUS
4,285
Likely benign
1,074
Benign
0","Patient phenotypes
Proportions of phenotypes among 15 patients carrying pathogenic or likely pathogenic variants on DLGAP3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
66.7%
Abnormality of head or neck
26.7%
Abnormality of the musculoskeletal system
26.7%
Abnormality of the cardiovascular system
20%
Growth abnormality
20%
Abnormality of blood and blood-forming tissues
6.7%
Abnormality of limbs
6.7%
Abnormality of the eye
6.7%
Abnormality of the integument
6.7%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
2,https://3billion.io/gene/DLGAP1/,DLGAP1,"DLGAP1
Synonyms
DAP-1, DAP-1-ALPHA, DAP-1-BETA, DAP1, DLGAP1A, DLGAP1B, GKAP, SAPAP1
External resources
NCBI9229
OMIM605445
EnsemblENSG00000170579
HGNCHGNC:2905
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
5,476
Likely benign
1,544
Benign
0","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on DLGAP1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
50%
Abnormality of the nervous system
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
3,https://3billion.io/gene/DLGAP4/,DLGAP4,"DLGAP4
Synonyms
DAP-4, DAP4, DLP4, SAPAP-4, SAPAP4
External resources
NCBI22839
OMIM616191
EnsemblENSG00000080845
HGNCHGNC:24476
Summary
The product of this gene is a membrane-associated guanylate kinase found at the postsynaptic density in neuronal cells. It is a signaling molecule that can interact with potassium channels and receptors, as well as other signaling molecules. The protein encoded by this gene can interact with PSD-95 through its guanylate kinase domain and may be involved in clustering PSD-95 in the postsynaptic density region. The encoded protein is one of at least four similar proteins that have been found. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
178
Likely pathogenic
1
VUS
14,760
Likely benign
7,149
Benign
0","Patient phenotypes
Proportions of phenotypes among 86 patients carrying pathogenic or likely pathogenic variants on DLGAP4 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
34.9%
Abnormality of the cardiovascular system
26.7%
Abnormality of the eye
19.8%
Abnormality of the ear
17.4%
Abnormality of the musculoskeletal system
11.6%
Abnormality of limbs
8.1%
Abnormality of the integument
8.1%
Abnormality of head or neck
7%
Abnormality of the genitourinary system
5.8%
Abnormality of the immune system
4.7%
Abnormality of the digestive system
3.5%
Growth abnormality
3.5%
Abnormality of prenatal development or birth
1.2%
Abnormality of the breast
1.2%
Abnormality of the respiratory system
1.2%
Neoplasm
1.2%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the endocrine system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%"
4,https://3billion.io/gene/DLGAP5/,DLGAP5,"DLGAP5
Synonyms
DLG7, HURP
External resources
NCBI9787
OMIM617859
EnsemblENSG00000126787
HGNCHGNC:16864
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
23,207
Likely benign
2,090
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on DLGAP5 gene."
5,https://3billion.io/gene/DDIT3/,DDIT3,"DDIT3
Synonyms
AltDDIT3, C/EBPzeta, CEBPZ, CHOP, CHOP-10, CHOP10, GADD153
External resources
NCBI1649
OMIM126337
EnsemblENSG00000175197
HGNCHGNC:2726
Summary
This gene encodes a member of the CCAAT/enhancer-binding protein (C/EBP) family of transcription factors. The protein functions as a dominant-negative inhibitor by forming heterodimers with other C/EBP members, such as C/EBP and LAP (liver activator protein), and preventing their DNA binding activity. The protein is implicated in adipogenesis and erythropoiesis, is activated by endoplasmic reticulum stress, and promotes apoptosis. Fusion of this gene and FUS on chromosome 16 or EWSR1 on chromosome 22 induced by translocation generates chimeric proteins in myxoid liposarcomas or Ewing sarcoma. Multiple alternatively spliced transcript variants encoding two isoforms with different length have been identified.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,878
Likely benign
73
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on DDIT3 gene."
6,https://3billion.io/gene/DDIT4/,DDIT4,"DDIT4
Synonyms
Dig2, REDD-1, REDD1
External resources
NCBI54541
OMIM607729
EnsemblENSG00000168209
HGNCHGNC:24944
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
280
Likely benign
839
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on DDIT4 gene."
7,https://3billion.io/gene/DAG1/,DAG1,"DAG1
Synonyms
156DAG, A3a, AGRNR, DAG, LGMDR16, MDDGA9, MDDGC7, MDDGC9
External resources
NCBI1605
OMIM128239
EnsemblENSG00000173402
HGNCHGNC:2666
Summary
This gene encodes dystroglycan, a central component of dystrophin-glycoprotein complex that links the extracellular matrix and the cytoskeleton in the skeletal muscle. The encoded preproprotein undergoes O- and N-glycosylation, and proteolytic processing to generate alpha and beta subunits. Certain mutations in this gene are known to cause distinct forms of muscular dystrophy. Alternative splicing results in multiple transcript variants, all encoding the same protein.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
98
VUS
982
Likely benign
1,385
Benign
130","Patient phenotypes
Proportions of phenotypes among 99 patients carrying pathogenic or likely pathogenic variants on DAG1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
40.4%
Abnormality of the cardiovascular system
25.3%
Abnormality of the musculoskeletal system
25.3%
Abnormality of head or neck
24.2%
Abnormality of the integument
17.2%
Growth abnormality
16.2%
Abnormality of blood and blood-forming tissues
14.1%
Abnormality of the eye
13.1%
Abnormality of the ear
12.1%
Abnormality of limbs
10.1%
Abnormality of the genitourinary system
10.1%
Abnormality of the immune system
5.1%
Abnormality of prenatal development or birth
3%
Abnormality of the digestive system
3%
Abnormality of the endocrine system
3%
Abnormality of the breast
2%
Abnormality of the respiratory system
2%
Neoplasm
2%
Abnormal cellular phenotype
1%
Constitutional symptom
1%
Abnormality of metabolism homeostasis
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
8,https://3billion.io/gene/DRC7/,DRC7,"DRC7
Synonyms
C16orf50, CCDC135, CFAP50, FAP50
External resources
NCBI84229
OMIM618769
EnsemblENSG00000159625
HGNCHGNC:25289
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
11,378
Likely benign
3,641
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on DRC7 gene."
9,https://3billion.io/gene/DRC3/,DRC3,"DRC3
Synonyms
CFAP134, LRRC48
External resources
NCBI83450
OMIM618758
EnsemblENSG00000171962
HGNCHGNC:25384
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
17,312
Likely benign
5,461
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on DRC3 gene."
