,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/OPA3/,OPA3,"OPA3
Synonyms
MGA3
External resources
NCBI80207
OMIM606580
EnsemblENSG00000125741
HGNCHGNC:8142
Summary
The mouse ortholog of this protein co-purifies with the mitochondrial inner membrane. Mutations in this gene have been shown to result in 3-methylglutaconic aciduria type III and autosomal dominant optic atrophy and cataract. Multiple transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
3
VUS
2,792
Likely benign
2,041
Benign
182","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on OPA3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
100%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/OPA1/,OPA1,"OPA1
Synonyms
BERHS, MGM1, MTDPS14, NPG, NTG, largeG
External resources
NCBI4976
OMIM605290
EnsemblENSG00000198836
HGNCHGNC:8140
Summary
The protein encoded by this gene is a nuclear-encoded mitochondrial protein with similarity to dynamin-related GTPases. The encoded protein localizes to the inner mitochondrial membrane and helps regulate mitochondrial stability and energy output. This protein also sequesters cytochrome c. Mutations in this gene have been associated with optic atrophy type 1, which is a dominantly inherited optic neuropathy resulting in progressive loss of visual acuity, leading in many cases to legal blindness.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
13
Likely pathogenic
16
VUS
5,521
Likely benign
8,923
Benign
0","Patient phenotypes
Proportions of phenotypes among 29 patients carrying pathogenic or likely pathogenic variants on OPA1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
34.5%
Abnormality of the eye
31%
Abnormality of the ear
17.2%
Abnormality of the integument
13.8%
Abnormality of the musculoskeletal system
13.8%
Abnormality of the cardiovascular system
6.9%
Abnormality of the genitourinary system
6.9%
Abnormality of the immune system
6.9%
Abnormality of limbs
3.4%
Abnormality of the digestive system
3.4%
Constitutional symptom
3.4%
Growth abnormality
3.4%
Neoplasm
3.4%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%"
2,https://3billion.io/gene/OGFR/,OGFR,"OGFR
Synonyms
-
External resources
NCBI11054
OMIM606459
EnsemblENSG00000060491
HGNCHGNC:15768
Summary
The protein encoded by this gene is a receptor for opioid growth factor (OGF), also known as [Met(5)]-enkephalin. OGF is a negative regulator of cell proliferation and tissue organization in a variety of processes. The encoded unbound receptor for OGF has been localized to the outer nuclear envelope, where it binds OGF and is translocated into the nucleus. The coding sequence of this gene contains a polymorphic region of 60 nt tandem imperfect repeat units. Several transcripts containing between zero and eight repeat units have been reported.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
23,047
Likely benign
6,628
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OGFR gene."
3,https://3billion.io/gene/OIP5/,OIP5,"OIP5
Synonyms
5730547N13Rik, CT86, LINT-25, MIS18B, MIS18beta, hMIS18beta
External resources
NCBI11339
OMIM606020
EnsemblENSG00000104147
HGNCHGNC:20300
Summary
The protein encoded by this gene localizes to centromeres, where it is essential for recruitment of CENP-A through the mediator Holliday junction recognition protein. Expression of this gene is upregulated in several cancers, making it a putative therapeutic target. Two transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,349
Likely benign
123
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OIP5 gene."
4,https://3billion.io/gene/OR52N4/,OR52N4,"OR52N4
Synonyms
OR11-64
External resources
NCBI390072
EnsemblENSG00000181074
HGNCHGNC:15230
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,546
Likely benign
348
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR52N4 gene."
5,https://3billion.io/gene/OR52N5/,OR52N5,"OR52N5
Synonyms
OR11-62, OR52N5Q
External resources
NCBI390075
EnsemblENSG00000181009
HGNCHGNC:15231
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
779
Likely benign
62
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR52N5 gene."
6,https://3billion.io/gene/OR52N2/,OR52N2,"OR52N2
Synonyms
OR11-57
External resources
NCBI390077
EnsemblENSG00000180988
HGNCHGNC:15228
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
550
Likely benign
177
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR52N2 gene."
7,https://3billion.io/gene/OR52N1/,OR52N1,"OR52N1
Synonyms
OR11-61
External resources
NCBI79473
EnsemblENSG00000181001
HGNCHGNC:14853
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
7,751
Likely benign
218
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR52N1 gene."
8,https://3billion.io/gene/OR1S1/,OR1S1,"OR1S1
Synonyms
OR11-232, OST034
External resources
NCBI219959
EnsemblENSG00000280204
HGNCHGNC:8227
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. This olfactory receptor gene is a segregating pseudogene, where some individuals have an allele that encodes a functional olfactory receptor, while other individuals have an allele encoding a protein that is predicted to be non-functional.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,605
Likely benign
518
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR1S1 gene."
9,https://3billion.io/gene/OR1S2/,OR1S2,"OR1S2
Synonyms
OR11-231
External resources
NCBI219958
EnsemblENSG00000197887
HGNCHGNC:15141
Summary
Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,478
Likely benign
6,756
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on OR1S2 gene."
