,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/ATRX/,ATRX,"ATRX
Synonyms
JMS, MRX52, RAD54, RAD54L, XH2, XNP, ZNF-HX
External resources
NCBI546
OMIM300032
EnsemblENSG00000085224
HGNCHGNC:886
Summary
The protein encoded by this gene contains an ATPase/helicase domain, and thus it belongs to the SWI/SNF family of chromatin remodeling proteins. This protein is found to undergo cell cycle-dependent phosphorylation, which regulates its nuclear matrix and chromatin association, and suggests its involvement in the gene regulation at interphase and chromosomal segregation in mitosis. Mutations in this gene are associated with X-linked syndromes exhibiting cognitive disabilities as well as alpha-thalassemia (ATRX) syndrome. These mutations have been shown to cause diverse changes in the pattern of DNA methylation, which may provide a link between chromatin remodeling, DNA methylation, and gene expression in developmental processes. Multiple alternatively spliced transcript variants encoding distinct isoforms have been reported.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
12
Likely pathogenic
1
VUS
3,009
Likely benign
2,805
Benign
282","Patient phenotypes
Proportions of phenotypes among 13 patients carrying pathogenic or likely pathogenic variants on ATRX gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
53.8%
Abnormality of head or neck
38.5%
Abnormality of the musculoskeletal system
38.5%
Abnormality of the ear
30.8%
Abnormality of the genitourinary system
30.8%
Abnormality of limbs
23.1%
Abnormality of the eye
23.1%
Abnormality of the cardiovascular system
15.4%
Abnormality of the integument
15.4%
Abnormality of the respiratory system
15.4%
Abnormality of the digestive system
7.7%
Abnormality of the voice
7.7%
Constitutional symptom
7.7%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the thoracic cavity
0%
Growth abnormality
0%
Neoplasm
0%"
1,https://3billion.io/gene/ART1/,ART1,"ART1
Synonyms
ART2, ARTC1, CD296, RT6
External resources
NCBI417
OMIM601625
EnsemblENSG00000129744
HGNCHGNC:723
Summary
ADP-ribosyltransferase catalyzes the ADP-ribosylation of arginine residues in proteins. Mono-ADP-ribosylation is a posttranslational modification of proteins that is interfered with by a variety of bacterial toxins including cholera, pertussis, and heat-labile enterotoxins of E. coli. The amino acid sequence consists of predominantly hydrophobic N- and C-terminal regions, which is characteristic of glycosylphosphatidylinositol (GPI)-anchored proteins. This gene was previously designated ART2.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,022
Likely benign
5,248
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ART1 gene."
2,https://3billion.io/gene/ART3/,ART3,"ART3
Synonyms
ARTC3
External resources
NCBI419
OMIM603086
EnsemblENSG00000156219
HGNCHGNC:725
Summary
This gene encodes an arginine-specific ADP-ribosyltransferase. The encoded protein catalyzes a reversible reaction which modifies proteins by the addition or removal of ADP-ribose to an arginine residue to regulate the function of the modified protein. An ADP-ribosyltransferase pseudogene is located on chromosome 11. Multiple transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,373
Likely benign
1,810
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ART3 gene."
3,https://3billion.io/gene/ART5/,ART5,"ART5
Synonyms
ARTC5
External resources
NCBI116969
OMIM610625
EnsemblENSG00000167311
HGNCHGNC:24049
Summary
The protein encoded by this gene belongs to the ARG-specific ADP-ribosyltransferase family. Proteins in this family regulate the function of target proteins by attaching ADP-ribose to specific amino acid residues in their target proteins. The mouse homolog lacks a glycosylphosphatidylinositol-anchor signal sequence and is predicted to be a secretory enzyme. Several transcripts encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,082
Likely benign
260
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ART5 gene."
4,https://3billion.io/gene/ART4/,ART4,"ART4
Synonyms
ARTC4, CD297, DO, DO/ART4, DOK1
External resources
NCBI420
OMIM110600
EnsemblENSG00000111339
HGNCHGNC:726
Summary
This gene encodes a protein that contains a mono-ADP-ribosylation (ART) motif. It is a member of the ADP-ribosyltransferase gene family but enzymatic activity has not been demonstrated experimentally. Antigens of the Dombrock blood group system are located on the gene product, which is glycosylphosphatidylinosotol-anchored to the erythrocyte membrane. Allelic variants, some of which lead to adverse transfusion reactions, are known.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
335
Likely benign
3,001
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ART4 gene."
5,https://3billion.io/gene/ABAT/,ABAT,"ABAT
Synonyms
GABA-AT, GABAT, NPD009
External resources
NCBI18
OMIM137150
EnsemblENSG00000183044
HGNCHGNC:23
Summary
4-aminobutyrate aminotransferase (ABAT) is responsible for catabolism of gamma-aminobutyric acid (GABA), an important, mostly inhibitory neurotransmitter in the central nervous system, into succinic semialdehyde. The active enzyme is a homodimer of 50-kD subunits complexed to pyridoxal-5-phosphate. The protein sequence is over 95% similar to the pig protein. GABA is estimated to be present in nearly one-third of human synapses. ABAT in liver and brain is controlled by 2 codominant alleles with a frequency in a Caucasian population of 0.56 and 0.44. The ABAT deficiency phenotype includes psychomotor retardation, hypotonia, hyperreflexia, lethargy, refractory seizures, and EEG abnormalities. Multiple alternatively spliced transcript variants encoding the same protein isoform have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
7,144
Likely benign
10,675
Benign
424","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on ABAT gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
66.7%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
6,https://3billion.io/gene/AAAS/,AAAS,"AAAS
Synonyms
AAA, AAASb, ADRACALA, ADRACALIN, ALADIN, GL003
External resources
NCBI8086
OMIM605378
EnsemblENSG00000094914
HGNCHGNC:13666
Summary
The protein encoded by this gene is a member of the WD-repeat family of regulatory proteins and may be involved in normal development of the peripheral and central nervous system. The encoded protein is part of the nuclear pore complex and is anchored there by NDC1. Defects in this gene are a cause of achalasia-addisonianism-alacrima syndrome (AAAS), also called triple-A syndrome or Allgrove syndrome. Two transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
20
Likely pathogenic
2
VUS
3,642
Likely benign
506
Benign
0","Patient phenotypes
Proportions of phenotypes among 20 patients carrying pathogenic or likely pathogenic variants on AAAS gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
40%
Abnormality of the nervous system
40%
Abnormality of the cardiovascular system
25%
Abnormality of the digestive system
25%
Abnormality of the genitourinary system
25%
Abnormality of limbs
20%
Abnormality of the eye
20%
Abnormality of the integument
20%
Abnormality of head or neck
15%
Abnormality of the endocrine system
15%
Constitutional symptom
15%
Abnormality of blood and blood-forming tissues
10%
Abnormality of the ear
10%
Growth abnormality
10%
Abnormality of the immune system
5%
Abnormality of the voice
5%
Neoplasm
5%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%"
7,https://3billion.io/gene/AAGAB/,AAGAB,"AAGAB
Synonyms
KPPP1, PPKP1, PPKP1A, p34
External resources
NCBI79719
OMIM614888
EnsemblENSG00000103591
HGNCHGNC:25662
Summary
The protein encoded by this gene interacts with the gamma-adaptin and alpha-adaptin subunits of complexes involved in clathrin-coated vesicle trafficking. Mutations in this gene are associated with type I punctate palmoplantar keratoderma. Alternatively spliced transcript variants have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
0
VUS
712
Likely benign
1,032
Benign
2,577","Patient phenotypes
Proportions of phenotypes among 2 patients carrying pathogenic or likely pathogenic variants on AAGAB gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of limbs
50%
Abnormality of the endocrine system
50%
Abnormality of the integument
50%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
8,https://3billion.io/gene/ALPP/,ALPP,"ALPP
Synonyms
ALP, ALPI, IAP, PALP, PLAP, PLAP-1
External resources
NCBI250
OMIM171800
EnsemblENSG00000163283
HGNCHGNC:439
Summary
The protein encoded by this gene is an alkaline phosphatase, a metalloenzyme that catalyzes the hydrolysis of phosphoric acid monoesters. It belongs to a multigene family composed of four alkaline phosphatase isoenzymes. The enzyme functions as a homodimer and has a catalytic site containing one magnesium and two zinc ions, which are required for its enzymatic function. One of the main sources of this enzyme is the liver, and thus, it's one of several indicators of liver injury in different clinical conditions. In pregnant women, this protein is primarily expressed in placental and endometrial tissue, however, strong ectopic expression has been detected in ovarian adenocarcinoma, serous cystadenocarcinoma, and other ovarian cancer cells.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
27,584
Likely benign
28,548
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on ALPP gene."
9,https://3billion.io/gene/ALPI/,ALPI,"ALPI
Synonyms
IAP
External resources
NCBI248
OMIM171740
EnsemblENSG00000163295
HGNCHGNC:437
Summary
There are at least four distinct but related alkaline phosphatases: intestinal, placental, placental-like, and liver/bone/kidney (tissue non-specific). The intestinal alkaline phosphatase gene encodes a digestive brush-border enzyme. This enzyme is a component of the gut mucosal defense system and is thought to function in the detoxification of lipopolysaccharide, and in the prevention of bacterial translocation in the gut.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
19
Likely pathogenic
23
VUS
2,144
Likely benign
1,304
Benign
0","Patient phenotypes
Proportions of phenotypes among 41 patients carrying pathogenic or likely pathogenic variants on ALPI gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
34.1%
Abnormality of the eye
26.8%
Abnormality of the musculoskeletal system
24.4%
Abnormality of head or neck
17.1%
Abnormality of the ear
17.1%
Abnormality of the cardiovascular system
14.6%
Abnormality of limbs
12.2%
Growth abnormality
12.2%
Abnormality of blood and blood-forming tissues
7.3%
Abnormality of the digestive system
7.3%
Abnormality of the immune system
7.3%
Abnormality of prenatal development or birth
4.9%
Abnormality of the genitourinary system
4.9%
Abnormality of the integument
4.9%
Abnormality of the respiratory system
4.9%
Abnormality of the endocrine system
2.4%
Abnormality of the voice
2.4%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the thoracic cavity
0%
Constitutional symptom
0%
Neoplasm
0%"
