,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/WNT3/,WNT3,"WNT3
Synonyms
INT4, TETAMS
External resources
NCBI7473
OMIM165330
EnsemblENSG00000108379
HGNCHGNC:12782
Summary
The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It encodes a protein which shows 98% amino acid identity to mouse Wnt3 protein, and 84% to human WNT3A protein, another WNT gene product. The mouse studies show the requirement of Wnt3 in primary axis formation in the mouse. Studies of the gene expression suggest that this gene may play a key role in some cases of human breast, rectal, lung, and gastric cancer through activation of the WNT-beta-catenin-TCF signaling pathway. This gene is clustered with WNT15, another family member, in the chromosome 17q21 region.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
5
Likely pathogenic
0
VUS
1,475
Likely benign
2,571
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on WNT3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
75%
Abnormality of head or neck
50%
Abnormality of the cardiovascular system
50%
Abnormality of the musculoskeletal system
50%
Growth abnormality
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
1,https://3billion.io/gene/WNT2/,WNT2,"WNT2
Synonyms
INT1L1, IRP
External resources
NCBI7472
OMIM147870
EnsemblENSG00000105989
HGNCHGNC:12780
Summary
This gene is a member of the WNT gene family. The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. Alternatively spliced transcript variants have been identified for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
788
Likely benign
123
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on WNT2 gene."
2,https://3billion.io/gene/WNT1/,WNT1,"WNT1
Synonyms
BMND16, INT1, OI15
External resources
NCBI7471
OMIM164820
EnsemblENSG00000125084
HGNCHGNC:12774
Summary
The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It is very conserved in evolution, and the protein encoded by this gene is known to be 98% identical to the mouse Wnt1 protein at the amino acid level. The studies in mouse indicate that the Wnt1 protein functions in the induction of the mesencephalon and cerebellum. This gene was originally considered as a candidate gene for Joubert syndrome, an autosomal recessive disorder with cerebellar hypoplasia as a leading feature. However, further studies suggested that the gene mutations might not have a significant role in Joubert syndrome. This gene is clustered with another family member, WNT10B, in the chromosome 12q13 region.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
6
Likely pathogenic
0
VUS
572
Likely benign
104
Benign
0","Patient phenotypes
Proportions of phenotypes among 6 patients carrying pathogenic or likely pathogenic variants on WNT1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
66.7%
Abnormality of head or neck
33.3%
Abnormality of the cardiovascular system
33.3%
Abnormality of the ear
33.3%
Abnormality of the eye
33.3%
Abnormality of the immune system
33.3%
Abnormality of the integument
33.3%
Abnormality of the musculoskeletal system
33.3%
Abnormality of the respiratory system
33.3%
Abnormality of limbs
16.7%
Abnormality of the digestive system
16.7%
Growth abnormality
16.7%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
3,https://3billion.io/gene/WNT4/,WNT4,"WNT4
Synonyms
SERKAL, WNT-4
External resources
NCBI54361
OMIM603490
EnsemblENSG00000162552
HGNCHGNC:12783
Summary
The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family, and is the first signaling molecule shown to influence the sex-determination cascade. It encodes a protein which shows 98% amino acid identity to the Wnt4 protein of mouse and rat. This gene and a nuclear receptor known to antagonize the testis-determining factor play a concerted role in both the control of female development and the prevention of testes formation. This gene and another two family members, WNT2 and WNT7B, may be associated with abnormal proliferation in breast tissue. Mutations in this gene can result in Rokitansky-Kuster-Hauser syndrome and in SERKAL syndrome.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,031
Likely benign
1,047
Benign
43","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on WNT4 gene."
4,https://3billion.io/gene/WDR7/,WDR7,"WDR7
Synonyms
TRAG
External resources
NCBI23335
OMIM613473
EnsemblENSG00000091157
HGNCHGNC:13490
Summary
This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by gly-his and trp-asp (GH-WD) that may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. The encoded protein forms the beta subunit of rabconnectin-3 and binds directly with Rab3A GDP/GTP exchange protein and indirectly with Rab3A GDP/GTP activating protein; these proteins are regulators of Rab3 small G protein family members involved in control of the calcium-dependant exocytosis of neurotransmitters. Alternatively spliced transcript variants encoding different isoforms have been described.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
5,486
Likely benign
6,956
Benign
0","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on WDR7 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
33.3%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
5,https://3billion.io/gene/WNT10A/,WNT10A,"WNT10A
Synonyms
OODD, SSPS, STHAG4
External resources
NCBI80326
OMIM606268
EnsemblENSG00000135925
HGNCHGNC:13829
Summary
The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It is strongly expressed in the cell lines of promyelocytic leukemia and Burkitt's lymphoma. In addition, it and another family member, the WNT6 gene, are strongly coexpressed in colorectal cancer cell lines. The gene overexpression may play key roles in carcinogenesis through activation of the WNT-beta-catenin-TCF signaling pathway. This gene and the WNT6 gene are clustered in the chromosome 2q35 region.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
5
Likely pathogenic
3
VUS
1,530
Likely benign
484
Benign
0","Patient phenotypes
Proportions of phenotypes among 8 patients carrying pathogenic or likely pathogenic variants on WNT10A gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
25%
Abnormality of the cardiovascular system
25%
Abnormality of the musculoskeletal system
25%
Abnormality of the nervous system
25%
Abnormal cellular phenotype
12.5%
Abnormality of blood and blood-forming tissues
12.5%
Abnormality of limbs
12.5%
Abnormality of the ear
12.5%
Abnormality of the eye
12.5%
Abnormality of the immune system
12.5%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
6,https://3billion.io/gene/WNT10B/,WNT10B,"WNT10B
Synonyms
SHFM6, STHAG8, WNT-12
External resources
NCBI7480
OMIM601906
EnsemblENSG00000169884
HGNCHGNC:12775
Summary
The WNT gene family consists of structurally related genes which encode secreted signaling proteins. These proteins have been implicated in oncogenesis and in several developmental processes, including regulation of cell fate and patterning during embryogenesis. This gene is a member of the WNT gene family. It may be involved in breast cancer, and its protein signaling is likely a molecular switch that governs adipogenesis. This protein is 96% identical to the mouse Wnt10b protein at the amino acid level. This gene is clustered with another family member, WNT1, in the chromosome 12q13 region.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
11
Likely pathogenic
11
VUS
724
Likely benign
0
Benign
33","Patient phenotypes
Proportions of phenotypes among 22 patients carrying pathogenic or likely pathogenic variants on WNT10B gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
40.9%
Abnormality of the eye
18.2%
Abnormality of the nervous system
18.2%
Abnormality of head or neck
9.1%
Abnormality of limbs
9.1%
Abnormality of the ear
9.1%
Abnormality of the musculoskeletal system
9.1%
Abnormality of blood and blood-forming tissues
4.5%
Abnormality of the genitourinary system
4.5%
Abnormal cellular phenotype
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
7,https://3billion.io/gene/WWOX/,WWOX,"WWOX
Synonyms
D16S432E, DEE28, EIEE28, FOR, FRA16D, HHCMA56, PRO0128, SCAR12, SDR41C1, WOX1
External resources
NCBI51741
OMIM605131
EnsemblENSG00000186153
HGNCHGNC:12799
Summary
This gene encodes a member of the short-chain dehydrogenases/reductases (SDR) protein family. This gene spans the FRA16D common chromosomal fragile site and appears to function as a tumor suppressor gene. Expression of the encoded protein is able to induce apoptosis, while defects in this gene are associated with multiple types of cancer. Disruption of this gene is also associated with autosomal recessive spinocerebellar ataxia 12. Disruption of a similar gene in mouse results in impaired steroidogenesis, additionally suggesting a metabolic function for the protein. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
7
Likely pathogenic
2
VUS
5,192
Likely benign
8,312
Benign
2,079","Patient phenotypes
Proportions of phenotypes among 9 patients carrying pathogenic or likely pathogenic variants on WWOX gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the cardiovascular system
33.3%
Abnormality of head or neck
11.1%
Abnormality of the endocrine system
11.1%
Abnormality of the eye
11.1%
Abnormality of the musculoskeletal system
11.1%
Abnormality of the nervous system
11.1%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
8,https://3billion.io/gene/WIF1/,WIF1,"WIF1
Synonyms
WIF-1
External resources
NCBI11197
OMIM605186
EnsemblENSG00000156076
HGNCHGNC:18081
Summary
The protein encoded by this gene functions to inhibit WNT proteins, which are extracellular signaling molecules that play a role in embryonic development. This protein contains a WNT inhibitory factor (WIF) domain and five epidermal growth factor (EGF)-like domains, and is thought to be involved in mesoderm segmentation. This gene functions as a tumor suppressor gene, and has been found to be epigenetically silenced in various cancers.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,359
Likely benign
243
Benign
1,854","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on WIF1 gene."
9,https://3billion.io/gene/WDR13/,WDR13,"WDR13
Synonyms
MG21
External resources
NCBI64743
OMIM300512
EnsemblENSG00000101940
HGNCHGNC:14352
Summary
This gene encodes a member of the WD repeat protein family. WD repeats are minimally conserved regions of approximately 40 amino acids typically bracketed by Gly-His and Trp-Asp (GH-WD), which may facilitate formation of heterotrimeric or multiprotein complexes. Members of this family are involved in a variety of cellular processes, including cell cycle progression, signal transduction, apoptosis, and gene regulation. A similar protein in mouse is thought to be a negative regulator of the pancreatic beta cell proliferation. Mice lacking this gene exhibit increased pancreatic islet mass and higher serum insulin levels, and are mildly obese.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,637
Likely benign
524
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on WDR13 gene."
