,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/MKRN2OS/,MKRN2OS,"MKRN2OS
Synonyms
C3orf83, MKRN2-AS1
External resources
NCBI100129480
EnsemblENSG00000225526
HGNCHGNC:40375
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,846
Likely benign
1,336
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MKRN2OS gene."
1,https://3billion.io/gene/MAGT1/,MAGT1,"MAGT1
Synonyms
CDG1CC, IAP, MRX95, OST3B, PRO0756, SLC58A1, XMEN, bA217H1.1
External resources
NCBI84061
OMIM300715
EnsemblENSG00000102158
HGNCHGNC:28880
Summary
This gene encodes a ubiquitously expressed magnesium cation transporter protein that localizes to the cell membrane. This protein also associates with N-oligosaccharyl transferase and therefore may have a role in N-glycosylation. Mutations in this gene cause a form of X-linked intellectual disability (XLID). This gene may have multiple in-frame translation initiation sites, one of which would encode a shorter protein with an N-terminus containing a signal peptide at amino acids 1-29.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
4
VUS
1,379
Likely benign
1,378
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on MAGT1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the musculoskeletal system
75%
Abnormality of head or neck
50%
Abnormality of the cardiovascular system
50%
Abnormality of the nervous system
50%
Abnormality of the ear
25%
Abnormality of the genitourinary system
25%
Constitutional symptom
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Growth abnormality
0%
Neoplasm
0%"
2,https://3billion.io/gene/MSMP/,MSMP,"MSMP
Synonyms
PSMP
External resources
NCBI692094
OMIM612191
EnsemblENSG00000215183
HGNCHGNC:29663
Summary
This gene encodes a member of the beta-microseminoprotein family. Members of this protein family contain ten conserved cysteine residues that form intra-molecular disulfide bonds. The encoded protein may play a role in prostate cancer tumorigenesis.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,484
Likely benign
524
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MSMP gene."
3,https://3billion.io/gene/MZB1/,MZB1,"MZB1
Synonyms
MEDA-7, PACAP, pERp1
External resources
NCBI51237
OMIM609447
EnsemblENSG00000170476
HGNCHGNC:30125
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
4,053
Likely benign
826
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MZB1 gene."
4,https://3billion.io/gene/MSMB/,MSMB,"MSMB
Synonyms
HPC13, IGBF, MSP, MSPB, PN44, PRPS, PSP, PSP-94, PSP57, PSP94
External resources
NCBI4477
OMIM157145
EnsemblENSG00000263639
HGNCHGNC:7372
Summary
The protein encoded by this gene is a member of the immunoglobulin binding factor family. It is synthesized by the epithelial cells of the prostate gland and secreted into the seminal plasma. This protein has inhibin-like activity. It may have a role as an autocrine paracrine factor in uterine, breast and other female reproductive tissues. The expression of the encoded protein is found to be decreased in prostate cancer. Two alternatively spliced transcript variants encoding different isoforms are described for this gene. The use of alternate polyadenylation sites has been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
256
Likely benign
1,041
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MSMB gene."
5,https://3billion.io/gene/MYDGF/,MYDGF,"MYDGF
Synonyms
C19orf10, EUROIMAGE1875335, IL25, IL27, IL27w, R33729_1, SF20
External resources
NCBI56005
OMIM606746
EnsemblENSG00000074842
HGNCHGNC:16948
Summary
The protein encoded by this gene was previously thought to support proliferation of lymphoid cells and was considered an interleukin. However, this activity has not been reproducible and the function of this protein is currently unknown.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,375
Likely benign
280
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MYDGF gene."
6,https://3billion.io/gene/MPDU1/,MPDU1,"MPDU1
Synonyms
CDGIF, HBEBP2BPA, Lec35, My008, PP3958, PQLC5, SL15, SLC66A5
External resources
NCBI9526
OMIM604041
EnsemblENSG00000129255
HGNCHGNC:7207
Summary
This gene encodes an endoplasmic reticulum membrane protein that is required for utilization of the mannose donor mannose-P-dolichol in the synthesis of lipid-linked oligosaccharides and glycosylphosphatidylinositols. Mutations in this gene result in congenital disorder of glycosylation type If. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
10
Likely pathogenic
2
VUS
3,606
Likely benign
710
Benign
0","Patient phenotypes
Proportions of phenotypes among 12 patients carrying pathogenic or likely pathogenic variants on MPDU1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
33.3%
Abnormality of the cardiovascular system
25%
Abnormality of the nervous system
25%
Abnormality of the integument
16.7%
Abnormal cellular phenotype
8.3%
Abnormality of blood and blood-forming tissues
8.3%
Abnormality of head or neck
8.3%
Abnormality of the digestive system
8.3%
Abnormality of the ear
8.3%
Abnormality of the immune system
8.3%
Abnormality of the musculoskeletal system
8.3%
Constitutional symptom
8.3%
Growth abnormality
8.3%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
7,https://3billion.io/gene/MBD3L2B/,MBD3L2B,"MBD3L2B
Synonyms
-
External resources
NCBI729458
EnsemblENSG00000196589
HGNCHGNC:53435
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
441
Likely benign
403
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MBD3L2B gene."
8,https://3billion.io/gene/MACROD2/,MACROD2,"MACROD2
Synonyms
C20orf133, C2orf133
External resources
NCBI140733
OMIM611567
EnsemblENSG00000172264
HGNCHGNC:16126
Summary
The protein encoded by this gene is a deacetylase involved in removing ADP-ribose from mono-ADP-ribosylated proteins. The encoded protein has been shown to translocate from the nucleus to the cytoplasm upon DNA damage.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
10,696
Likely benign
7,269
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MACROD2 gene."
9,https://3billion.io/gene/MACROD1/,MACROD1,"MACROD1
Synonyms
LRP16
External resources
NCBI28992
OMIM610400
EnsemblENSG00000133315
HGNCHGNC:29598
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
3,655
Likely benign
2,112
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on MACROD1 gene."
