,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/BCL2A1/,BCL2A1,"BCL2A1
Synonyms
ACC-1, ACC-2, ACC1, ACC2, BCL2L5, BFL1, GRS, HBPA1
External resources
NCBI597
OMIM601056
EnsemblENSG00000140379
HGNCHGNC:991
Summary
This gene encodes a member of the BCL-2 protein family. The proteins of this family form hetero- or homodimers and act as anti- and pro-apoptotic regulators that are involved in a wide variety of cellular activities such as embryonic development, homeostasis and tumorigenesis. The protein encoded by this gene is able to reduce the release of pro-apoptotic cytochrome c from mitochondria and block caspase activation. This gene is a direct transcription target of NF-kappa B in response to inflammatory mediators, and is up-regulated by different extracellular signals, such as granulocyte-macrophage colony-stimulating factor (GM-CSF), CD40, phorbol ester and inflammatory cytokine TNF and IL-1, which suggests a cytoprotective function that is essential for lymphocyte activation as well as cell survival. Alternatively spliced transcript variants encoding different isoforms have been found for this gene.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
468
Likely benign
177
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BCL2A1 gene."
1,https://3billion.io/gene/B3GAT3/,B3GAT3,"B3GAT3
Synonyms
GLCATI, JDSCD, glcUAT-I
External resources
NCBI26229
OMIM606374
EnsemblENSG00000149541
HGNCHGNC:923
Summary
The protein encoded by this gene is a member of the glucuronyltransferase gene family, enzymes that exhibit strict acceptor specificity, recognizing nonreducing terminal sugars and their anomeric linkages. This gene product catalyzes the formation of the glycosaminoglycan-protein linkage by way of a glucuronyl transfer reaction in the final step of the biosynthesis of the linkage region of proteoglycans. A pseudogene of this gene has been identified on chromosome 3.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
70
Likely pathogenic
4
VUS
3,608
Likely benign
739
Benign
394","Patient phenotypes
Proportions of phenotypes among 74 patients carrying pathogenic or likely pathogenic variants on B3GAT3 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the nervous system
35.1%
Abnormality of the musculoskeletal system
25.7%
Abnormality of head or neck
24.3%
Abnormality of the cardiovascular system
13.5%
Growth abnormality
13.5%
Abnormality of the ear
12.2%
Abnormality of limbs
10.8%
Abnormality of the eye
10.8%
Abnormality of blood and blood-forming tissues
6.8%
Abnormality of the genitourinary system
6.8%
Abnormality of the immune system
6.8%
Abnormality of the integument
5.4%
Abnormality of the endocrine system
4.1%
Abnormality of the respiratory system
4.1%
Abnormality of the digestive system
2.7%
Abnormal cellular phenotype
1.4%
Abnormality of prenatal development or birth
1.4%
Abnormality of the breast
1.4%
Abnormality of metabolism homeostasis
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
2,https://3billion.io/gene/B3GAT2/,B3GAT2,"B3GAT2
Synonyms
GLCATS
External resources
NCBI135152
OMIM607497
EnsemblENSG00000112309
HGNCHGNC:922
Summary
The product of this gene is a transmembrane protein belonging to the glucuronyltransferase family, and catalyzes the transfer of a beta-1,3 linked glucuronic acid to a terminal galactose in different glycoproteins or glycolipids containing a Gal-beta-1-4GlcNAc or Gal-beta-1-3GlcNAc residue. The encoded protein is involved in the synthesis of the human natural killer-1 (HNK-1) carbohydrate epitope, a sulfated trisaccharide implicated in cellular migration and adhesion in the nervous system.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
6,724
Likely benign
335
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on B3GAT2 gene."
3,https://3billion.io/gene/B3GAT1/,B3GAT1,"B3GAT1
Synonyms
CD57, GLCATP, GLCUATP, HNK1, LEU7, NK-1, NK1
External resources
NCBI27087
OMIM151290
EnsemblENSG00000109956
HGNCHGNC:921
Summary
The protein encoded by this gene is a member of the glucuronyltransferase gene family. These enzymes exhibit strict acceptor specificity, recognizing nonreducing terminal sugars and their anomeric linkages. This gene product functions as the key enzyme in a glucuronyl transfer reaction during the biosynthesis of the carbohydrate epitope HNK-1 (human natural killer-1, also known as CD57 and LEU7). Alternate transcriptional splice variants have been characterized.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,092
Likely benign
209
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on B3GAT1 gene."
4,https://3billion.io/gene/BHLHA15/,BHLHA15,"BHLHA15
Synonyms
BHLHB8, MIST1
External resources
NCBI168620
OMIM608606
EnsemblENSG00000180535
HGNCHGNC:22265
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
2,285
Likely benign
90
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BHLHA15 gene."
5,https://3billion.io/gene/BTG4/,BTG4,"BTG4
Synonyms
APRO3, OOMD8, PC3B
External resources
NCBI54766
OMIM605673
EnsemblENSG00000137707
HGNCHGNC:13862
Summary
The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein can induce G1 arrest in the cell cycle.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
4
Likely pathogenic
0
VUS
1,613
Likely benign
857
Benign
0","Patient phenotypes
Proportions of phenotypes among 4 patients carrying pathogenic or likely pathogenic variants on BTG4 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of limbs
50%
Abnormality of the musculoskeletal system
50%
Abnormality of head or neck
25%
Abnormality of the cardiovascular system
25%
Abnormality of the ear
25%
Abnormality of the eye
25%
Abnormality of the genitourinary system
25%
Abnormality of the immune system
25%
Abnormality of the integument
25%
Abnormality of the nervous system
25%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the digestive system
0%
Abnormality of the endocrine system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
6,https://3billion.io/gene/BTG2/,BTG2,"BTG2
Synonyms
APRO1, PC3, TIS21
External resources
NCBI7832
OMIM601597
EnsemblENSG00000159388
HGNCHGNC:1131
Summary
The protein encoded by this gene is a member of the BTG/Tob family. This family has structurally related proteins that appear to have antiproliferative properties. This encoded protein is involved in the regulation of the G1/S transition of the cell cycle.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
344
Likely benign
1,261
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BTG2 gene."
7,https://3billion.io/gene/BTG1/,BTG1,"BTG1
Synonyms
APRO2
External resources
NCBI694
OMIM109580
EnsemblENSG00000133639
HGNCHGNC:1130
Summary
This gene is a member of an anti-proliferative gene family that regulates cell growth and differentiation. Expression of this gene is highest in the G0/G1 phases of the cell cycle and downregulated when cells progressed through G1. The encoded protein interacts with several nuclear receptors, and functions as a coactivator of cell differentiation. This locus has been shown to be involved in a t(8;12)(q24;q22) chromosomal translocation in a case of B-cell chronic lymphocytic leukemia.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
503
Likely benign
226
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BTG1 gene."
8,https://3billion.io/gene/BEX5/,BEX5,"BEX5
Synonyms
NGFRAP1L1
External resources
NCBI340542
OMIM300693
EnsemblENSG00000184515
HGNCHGNC:27990
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
596
Likely benign
14
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BEX5 gene."
9,https://3billion.io/gene/BEX4/,BEX4,"BEX4
Synonyms
BEXL1
External resources
NCBI56271
OMIM300692
EnsemblENSG00000102409
HGNCHGNC:25475
Summary
This gene is a member of the brain expressed X-linked gene family. The proteins encoded by some of the other members of this family act as transcription elongation factors which allow RNA polymerase II to escape pausing during elongation. Multiple alternatively spliced variants, encoding the same protein, have been identified.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
139
Likely benign
19
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on BEX4 gene."
