,url,title,description,variant counts,patient phenotypes
0,https://3billion.io/gene/SPPL3/,SPPL3,"SPPL3
Synonyms
IMP2, MDHV1887, PRO4332, PSH1, PSL4
External resources
NCBI121665
OMIM608240
EnsemblENSG00000157837
HGNCHGNC:30424
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,191
Likely benign
1,967
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SPPL3 gene."
1,https://3billion.io/gene/SPR/,SPR,"SPR
Synonyms
SDR38C1
External resources
NCBI6697
OMIM182125
EnsemblENSG00000116096
HGNCHGNC:11257
Summary
This gene encodes an aldo-keto reductase that catalyzes the NADPH-dependent reduction of pteridine derivatives and is important in the biosynthesis of tetrahydrobiopterin (BH4). Mutations in this gene result in DOPA-responsive dystonia due to sepiaterin reductase deficiency. A pseudogene has been identified on chromosome 1.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
2
Likely pathogenic
1
VUS
336
Likely benign
121
Benign
0","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on SPR gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
33.3%
Abnormality of the eye
33.3%
Abnormality of the integument
33.3%
Abnormality of the musculoskeletal system
33.3%
Constitutional symptom
33.3%
Growth abnormality
33.3%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Neoplasm
0%"
2,https://3billion.io/gene/SLC36A4/,SLC36A4,"SLC36A4
Synonyms
PAT4
External resources
NCBI120103
OMIM613760
EnsemblENSG00000180773
HGNCHGNC:19660
Summary
SLC36A4 belongs to the SLC36 family of amino acid transporters based on sequence similarity with other family members (e.g., SLC36A1; MIM 606561). SLC36 proteins contain about 500 amino acids and have 9 to 11 transmembrane domains. Unlike other SLC36 family members, which are proton-coupled amino acid transporters, SLC36A4 is a high-affinity/low-capacity non-proton-coupled amino acid transporter (Pillai and Meredith, 2011 [PubMed 21097500]).","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,730
Likely benign
390
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SLC36A4 gene."
3,https://3billion.io/gene/SLC36A3/,SLC36A3,"SLC36A3
Synonyms
PAT3, TRAMD2, tramdorin2
External resources
NCBI285641
OMIM608332
EnsemblENSG00000186334
HGNCHGNC:19659
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
1,700
Likely benign
1,888
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SLC36A3 gene."
4,https://3billion.io/gene/SLC36A2/,SLC36A2,"SLC36A2
Synonyms
PAT2, TRAMD1
External resources
NCBI153201
OMIM608331
EnsemblENSG00000186335
HGNCHGNC:18762
Summary
This gene encodes a pH-dependent proton-coupled amino acid transporter that belongs to the amino acid auxin permease 1 protein family. The encoded protein primarily transports small amino acids such as glycine, alanine and proline. Mutations in this gene are associated with iminoglycinuria and hyperglycinuria.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
20
Likely pathogenic
0
VUS
3,623
Likely benign
2,499
Benign
359","Patient phenotypes
Proportions of phenotypes among 20 patients carrying pathogenic or likely pathogenic variants on SLC36A2 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the eye
50%
Abnormality of the nervous system
50%
Abnormality of the cardiovascular system
35%
Abnormality of head or neck
30%
Abnormality of the ear
30%
Abnormality of the musculoskeletal system
25%
Abnormality of the digestive system
15%
Abnormality of the integument
15%
Growth abnormality
15%
Abnormality of limbs
10%
Abnormality of prenatal development or birth
10%
Abnormality of the genitourinary system
10%
Abnormality of the immune system
10%
Abnormality of the respiratory system
5%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the endocrine system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
5,https://3billion.io/gene/SLC36A1/,SLC36A1,"SLC36A1
Synonyms
Dct1, LYAAT1, PAT1, TRAMD3
External resources
NCBI206358
OMIM606561
EnsemblENSG00000123643
HGNCHGNC:18761
Summary
This gene encodes a member of the eukaryote-specific amino acid/auxin permease (AAAP) 1 transporter family. The encoded protein functions as a proton-dependent, small amino acid transporter. This gene is clustered with related family members on chromosome 5q33.1. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
10,113
Likely benign
5,728
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SLC36A1 gene."
6,https://3billion.io/gene/SRBD1/,SRBD1,"SRBD1
Synonyms
-
External resources
NCBI55133
EnsemblENSG00000068784
HGNCHGNC:25521
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
24,523
Likely benign
5,151
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SRBD1 gene."
7,https://3billion.io/gene/SIDT1/,SIDT1,"SIDT1
Synonyms
SID-1, SID1
External resources
NCBI54847
OMIM606816
EnsemblENSG00000072858
HGNCHGNC:25967
Summary
The protein encoded by this gene belongs to SID1 family of transmembrane dsRNA-gated channels. Family members transport dsRNA into cells and are required for systemic RNA interference.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
10,138
Likely benign
2,557
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SIDT1 gene."
8,https://3billion.io/gene/SIDT2/,SIDT2,"SIDT2
Synonyms
CGI-40
External resources
NCBI51092
OMIM617551
EnsemblENSG00000149577
HGNCHGNC:24272
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
5,386
Likely benign
4,735
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SIDT2 gene."
9,https://3billion.io/gene/SAGE1/,SAGE1,"SAGE1
Synonyms
CT14, SAGE
External resources
NCBI55511
OMIM300359
EnsemblENSG00000181433
HGNCHGNC:30369
Summary
This gene belongs to a class of genes that are activated in tumors. These genes are expressed in tumors of different histologic types but not in normal tissues, except for spermatogenic cells and, for some, placenta. The proteins encoded by these genes appear to be strictly tumor specific, and hence may be excellent sources of antigens for cancer immunotherapy. This gene is expressed in sarcomas.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
0
VUS
22,003
Likely benign
9,451
Benign
0","Patient phenotypes
No patients carry pathogenic or likely pathogenic variants on SAGE1 gene."
10,https://3billion.io/gene/SEZ6L/,SEZ6L,"SEZ6L
Synonyms
-
External resources
NCBI23544
OMIM607021
EnsemblENSG00000100095
HGNCHGNC:10763
Summary
-","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
0
Likely pathogenic
1
VUS
14,307
Likely benign
6,195
Benign
0","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on SEZ6L gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
100%
Abnormality of the musculoskeletal system
100%
Abnormality of the nervous system
100%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the digestive system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
11,https://3billion.io/gene/SPG21/,SPG21,"SPG21
Synonyms
ABHD21, ACP33, BM-019, GL010, MAST
External resources
NCBI51324
OMIM608181
EnsemblENSG00000090487
HGNCHGNC:20373
Summary
The protein encoded by this gene binds to the hydrophobic C-terminal amino acids of CD4 which are involved in repression of T cell activation. The interaction with CD4 is mediated by the noncatalytic alpha/beta hydrolase fold domain of this protein. It is thus proposed that this gene product modulates the stimulatory activity of CD4. Mutations in this gene are associated with autosomal recessive spastic paraplegia 21 (SPG21), also known as mast syndrome. Alternative splicing results in multiple transcript variants.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
3
Likely pathogenic
0
VUS
10,118
Likely benign
826
Benign
0","Patient phenotypes
Proportions of phenotypes among 3 patients carrying pathogenic or likely pathogenic variants on SPG21 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of head or neck
66.7%
Abnormality of the cardiovascular system
66.7%
Abnormality of blood and blood-forming tissues
33.3%
Abnormality of prenatal development or birth
33.3%
Abnormality of the digestive system
33.3%
Abnormality of the immune system
33.3%
Abnormality of the nervous system
33.3%
Growth abnormality
33.3%
Abnormal cellular phenotype
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of the breast
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the integument
0%
Abnormality of the musculoskeletal system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Neoplasm
0%"
12,https://3billion.io/gene/SEC61A1/,SEC61A1,"SEC61A1
Synonyms
ADTKD5, HNFJ4, HSEC61, SEC61, SEC61A
External resources
NCBI29927
OMIM609213
EnsemblENSG00000058262
HGNCHGNC:18276
Summary
The protein encoded by this gene belongs to the SECY/SEC61- alpha family. It appears to play a crucial role in the insertion of secretory and membrane polypeptides into the endoplasmic reticulum. This protein found to be tightly associated with membrane-bound ribosomes, either directly or through adaptor proteins. This gene encodes an alpha subunit of the heteromeric SEC61 complex, which also contains beta and gamma subunits.","Variant counts
The variants found in rare patients tested by 3billion are classified and counted according to ACMG guidelines. The variants with over 5% variant frequency in population genome databases ( gnomAD, dbSNP, etc) are excluded.
Pathogenic
1
Likely pathogenic
0
VUS
793
Likely benign
1,039
Benign
706","Patient phenotypes
Proportions of phenotypes among 1 patients carrying pathogenic or likely pathogenic variants on SEC61A1 gene are displayed below.
Phenotype class
Patients in 3billion (%)
Abnormality of the digestive system
100%
Abnormality of the musculoskeletal system
100%
Abnormal cellular phenotype
0%
Abnormality of blood and blood-forming tissues
0%
Abnormality of head or neck
0%
Abnormality of limbs
0%
Abnormality of metabolism homeostasis
0%
Abnormality of prenatal development or birth
0%
Abnormality of the breast
0%
Abnormality of the cardiovascular system
0%
Abnormality of the ear
0%
Abnormality of the endocrine system
0%
Abnormality of the eye
0%
Abnormality of the genitourinary system
0%
Abnormality of the immune system
0%
Abnormality of the integument
0%
Abnormality of the nervous system
0%
Abnormality of the respiratory system
0%
Abnormality of the thoracic cavity
0%
Abnormality of the voice
0%
Constitutional symptom
0%
Growth abnormality
0%
Neoplasm
0%"
